P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-5-R2 AS BUILT.dwg,Model,12/16/2025 11:51:07 AM,npatel,TOSHIBA Universal Printer 2,Ledger (11 x 17"),1:78.3,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-1-R2 AS BUILT.dwg,Model,12/22/2025 10:16:47 AM, ,Brother HL-L2460DW,Letter,1:1.89348,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-8-R1.dwg,Model,12/22/2025 11:27:38 AM, ,Brother HL-L2460DW,Letter,1:11.2557,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-8-R1.dwg,Model,12/22/2025 11:28:03 AM, ,Brother HL-L2460DW,Letter,1:11.5003,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-8-R1.dwg,Model,12/22/2025 11:28:30 AM, ,Brother HL-L2460DW,Letter,1:10.3635,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-8-R1.dwg,Model,12/22/2025 11:29:22 AM, ,Brother HL-L2460DW,Letter,1:11.5394,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-8-R1.dwg,Model,12/22/2025 11:29:47 AM, ,Brother HL-L2460DW,Letter,1:10.2234,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-8-R1.dwg,Model,12/22/2025 11:30:16 AM, ,Brother HL-L2460DW,Letter,1:12.319,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-8-R1.dwg,Model,12/22/2025 11:31:02 AM, ,Brother HL-L2460DW,Letter,1:9.64958,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-8-R1.dwg,Model,12/22/2025 11:31:26 AM, ,Brother HL-L2460DW,Letter,1:9.38732,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-8-R1.dwg,Model,12/22/2025 11:31:57 AM, ,Brother HL-L2460DW,Letter,1:14.4802,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-8-R1.dwg,Model,12/22/2025 11:32:38 AM, ,Brother HL-L2460DW,Letter,1:12.2672,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-4-R1.dwg,Model,12/29/2025 8:35:46 AM, ,Brother HL-L2460DW,Letter,1:51.75,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-4-R1.dwg,Model,12/29/2025 8:36:41 AM, ,Brother HL-L2460DW,Letter,1:26.5016,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-4-R1.dwg,Model,12/29/2025 8:38:15 AM, ,Brother HL-L2460DW,Letter,1:25.875,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-4-R1.dwg,Model,12/29/2025 8:40:29 AM, ,Brother HL-L2460DW,Letter,1:16.2033,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-4-R1.dwg,Model,12/29/2025 8:43:16 AM, ,Brother HL-L2460DW,Letter,1:25.875,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-4-R1.dwg,Model,12/29/2025 8:43:44 AM, ,Brother HL-L2460DW,Letter,1:16.2033,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-4-R1.dwg,Model,12/29/2025 8:48:12 AM, ,Brother HL-L2460DW,Letter,1:16.2033,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-10-R1.dwg,Model,12/29/2025 1:12:15 PM, ,Brother HL-L2460DW,Letter,1:8.10038,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-10-R1.dwg,Model,12/29/2025 1:18:49 PM, ,Brother HL-L2460DW,Letter,1:6.37064,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-10-R1.dwg,Model,12/29/2025 1:19:16 PM, ,Brother HL-L2460DW,Letter,1:5.625,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-10-R1.dwg,Model,12/30/2025 9:43:29 AM, ,Brother HL-L2460DW,Letter,1:10.6668,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-11-R2 AS BUILT.dwg,Model,12/30/2025 12:36:20 PM, ,Brother HL-L2460DW,Letter,1:5.59309,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-6-R2 as built.dwg,Model,12/30/2025 3:30:33 PM, ,Brother HL-L2460DW,Letter,1:38.2116,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-5-R2 AS BUILT.dwg,Model,1/2/2026 9:28:56 AM, ,Brother HL-L2460DW,Letter,1:19.6321,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-2-R2 AS BUILT.dwg,Model,1/5/2026 1:37:05 PM, ,Brother HL-L2460DW,Letter,1:7.07125,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-13-R1.dwg,Model,1/7/2026 4:02:14 PM, ,Brother HL-L2460DW,Letter,1:59.0055,
P:\JOBS\2025\089-25 - Valmet - CRU4 Smelt Dissolving Tank\089-25-13-R1.dwg,Model,1/7/2026 4:24:20 PM, ,Brother HL-L2460DW,Letter,1:42.5112,
