Job,Customer,Description,Status,Order_Date,Type,Est_Total_Hrs,Act_Total_Hrs,Total_Price
26-054,MOUNCEME,"20,000 GAL AMMONIA TANK",Active,00:00.0,Regular,0,0,122000
26-046,WEYERHAEU,RESIN STORAGE TANK #2,Active,00:00.0,Regular,0,0,169000
26-047,WEYERHAEU,RESIN STORAGE TANK #3,Active,00:00.0,Regular,0,0,169000
26-048,WEYERHAEU,RELEASE AGENT STORAGE TANK,Active,00:00.0,Regular,0,0,151500
26-050,WEYERHAEU,WAX STORAGE TANK #2,Active,00:00.0,Regular,0,0,165250
26-051,WEYERHAEU,RAW WATER TANK,Active,00:00.0,Regular,0,0,173750
26-052,WEYERHAEU,FEED WATER TANK,Active,00:00.0,Regular,0,0,173750
26-053,WEYERHAEU,EFFLUENT WATER TANK,Active,00:00.0,Regular,0,0,122000
26-045,WEYERHAEU,RESIGN STORAGE TANK #1,Active,00:00.0,Regular,0,0,169000
26-049,WEYERHAEU,WAX STORAGE TANK #1,Active,00:00.0,Regular,0,0,165250
26-044,VERTCORP,25 ALTERATIONS TO BUFFER TANKS,Active,00:00.0,Regular,0,0,106250
26-034,RECOCOMM,THERMAL ENERGY STORAGE TANK #1 OF 10,Active,00:00.0,Regular,0,0,182500
26-035,RECOCOMM,THERMAL ENERGY STORAGE TANK #2 OF 10,Active,00:00.0,Regular,0,0,182500
26-036,RECOCOMM,THERMAL ENERGY STORAGE TANK #3 OF 10,Active,00:00.0,Regular,0,0,182500
26-037,RECOCOMM,THERMAL ENERGY STORAGE TANK #4 OF 10,Active,00:00.0,Regular,0,0,182500
26-038,RECOCOMM,THERMAL ENERGY STORAGE TANK #5 OF 10,Active,00:00.0,Regular,0,0,182500
26-039,RECOCOMM,THERMAL ENERGY STORAGE TANK #6 OF 10,Active,00:00.0,Regular,0,0,182500
26-040,RECOCOMM,THERMAL ENERGY STORAGE TANK #7 OF 10,Active,00:00.0,Regular,0,0,182500
26-041,RECOCOMM,THERMAL ENERGY STORAGE TANK #8 OF 10,Active,00:00.0,Regular,0,0,182500
26-042,RECOCOMM,THERMAL ENERGY STORAGE TANK #9 OF 10,Active,00:00.0,Regular,0,0,182500
26-043,RECOCOMM,THERMAL ENERGY STORAGE TANK #10 OF 10,Active,00:00.0,Regular,0,0,182500
1187,NULL,NULL,Active,00:00.0,Regular,0,0,0
26-032,KIMBCLAR,DRAINAGE BOX SEPARATOR,Active,00:00.0,Regular,0,0,104725
26-033,KIMBCLAR,SEAL TANK,Active,00:00.0,Regular,0,0,19000
26-031,SOLVSPEC,CRUDE CRYSTALIZER SURGE DRUM,Active,00:00.0,Regular,0,0,913600
26-027,KEMIRAWS,T-103R DRAWING,Active,00:00.0,Regular,0,0,6075
26-028,KEMIRAWS,T-107R DRAWING,Active,00:00.0,Regular,0,0,6025
26-029,AMERTERP,ALLOWABLE NOZZLE LOAD ANALYSIS,Active,00:00.0,Regular,0,0,500
26-030,AMERTERP,0.374 SHELL_205-14 REPLACEMENT,Active,00:00.0,Regular,0,0,109000
26-026,ANDRITZI,STEAM PIPE REPAIR PIECES,Active,00:00.0,Regular,0,0,2650
26-025,BLAKPEND,AIR RECEIVER TANK,Active,00:00.0,Regular,0,0,60000
26-024,POLYCOMP,WATER TANK,Active,00:00.0,Regular,0,0,19500
26-023,SAVATANK,DEMO TANK,Active,00:00.0,Regular,17,0,1
26-022,ANDRITZI,WASH LIQUOR FLASH TANK,Active,00:00.0,Regular,0,0,70000
26-020,USSUGARC,SECONDARY SCREENED JUICE TANK C,Active,00:00.0,Regular,0,0,66000
26-021,USSUGARC,PRIMARY SCREENED JUICE TANK C,Active,00:00.0,Regular,0,0,73750
26-019,GENERA1,NOZZLES W/REPADS,Active,00:00.0,Regular,0,0,2600
26-002,FLOQENGI,RAIL BUFFER TANK #1,Active,00:00.0,Regular,0,0,150750
26-003,FLOQENGI,RAIL BUFFER TANK #2,Active,00:00.0,Regular,0,0,150750
26-004,FLOQENGI,RAIL BUFFER TANK #3,Active,00:00.0,Regular,0,0,150750
26-006,VERTCORP,TEMP SENSOR SHIPMENT 1,Active,00:00.0,Regular,0,0,92400
26-007,VERTCORP,TEMP SENSOR SHIPMENT 2,Active,00:00.0,Regular,0,0,123200
26-005,USSUGARC,POLISHING/TRAP FILTER BLOWDN TANK,Active,00:00.0,Regular,0,0,45500
26-008,VERTCORP,TEMP SENSOR SHIPMENT 3,Active,00:00.0,Regular,0,0,169400
