26-023,0,.010,Receive Material,PRE FAB,0,0,O,2026-04-03 14:33:00.000
26-023,1,.QC1,UT Top & Bottom Heads,INSPECTION,0,0,O,2026-04-03 14:33:00.000
26-023,2,.100,Cut Nozzle Pipe and Clean,PRE FAB,3,0,O,2026-04-06 06:00:00.000
26-023,3,.105,Build Nozzles-Weld,PRE FAB,2,0,O,2026-04-06 09:00:00.000
26-023,4,.155,Cut Parts on Burn Table,PRE FAB,1,0,O,2026-04-06 11:00:00.000
26-023,5,.165,Build Supports,PRE FAB,1,0,O,2026-04-06 12:00:00.000
26-023,6,.QC4,QC Inspection -Top/Bot/Co,INSPECTION,0,0,O,2026-04-06 13:00:00.000
26-023,7,.460,Bevel Bottom Head,PRE FAB,1,0,O,2026-04-06 13:00:00.000
26-023,8,.OI1,ASME Hold Point,INSPECTION,0,0,O,2026-04-06 14:00:00.000
26-023,9,.600,Fit Bottom Head to Shell,FIT,1,0,O,2026-04-06 14:30:00.000
26-023,10,.620,"L/O Shell, B&C Holes",FIT,1,0,O,2026-04-06 15:30:00.000
26-023,11,.QC5,QC Inspection - Internal,INSPECTION,0,0,O,2026-04-06 16:30:00.000
26-023,12,.645,Weld all Outside Seams,FIT,1,0,O,2026-04-07 06:00:00.000
26-023,13,.720,Install Support Parts,FIT,1,0,O,2026-04-07 07:00:00.000
26-023,14,.725,Set Nozzles in Shell,FIT,1,0,O,2026-04-07 08:00:00.000
26-023,15,.726,Weld Shell Nozz & M/Ws,FIT,1,0,O,2026-04-07 09:00:00.000
26-023,16,.QC51,UT Components,INSPECTION,0,0,O,2026-04-07 10:00:00.000
26-023,17,.765,Install Name Tag,FINISHING,1,0,O,2026-04-07 10:00:00.000
26-023,18,.770,"Inspect Tank, Make Repair",FIT,1,0,O,2026-04-07 11:00:00.000
26-023,19,.910,Test Tank,FINISHING,1,0,O,2026-04-07 12:00:00.000
25-347,0,.010,Receive Material,PRE FAB,0,0,O,2026-04-03 14:33:00.000
25-347,1,.QC1,UT Top & Bottom Heads,INSPECTION,0,0,O,2026-04-03 14:33:00.000
25-347,2,.100,Cut Nozzle Pipe and Clean,PRE FAB,2,0,O,2026-04-06 06:00:00.000
25-347,3,.105,Build Nozzles-Weld,PRE FAB,4,0,O,2026-04-06 08:00:00.000
25-347,4,.155,Cut Parts on Burn Table,PRE FAB,6,0,O,2026-04-06 12:00:00.000
25-347,5,.156,Clean & Prep Parts,PRE FAB,3,0,O,2026-04-07 08:00:00.000
25-347,6,.200,"Bld Lift Lugs, Grd Lugs",PRE FAB,1,0,O,2026-04-07 11:00:00.000
25-347,7,.252,Fab Miscellaneous Parts,PRE FAB,2,0,O,2026-04-07 12:00:00.000
25-347,8,.261,Misc Fabrication,PRE FAB,2,0,O,2026-04-07 14:30:00.000
