26-005,USSUGARC,POLISHING/TRAP FILTER BLOWDN TANK,Active,NULL,SHERRI,2026-03-25 13:33:15.000,2026-01-19 00:00:00.000
26-020,USSUGARC,SECONDARY SCREENED JUICE TANK C,Active,NULL,SHERRI,2026-03-25 13:33:15.000,2026-02-05 00:00:00.000
26-021,USSUGARC,PRIMARY SCREENED JUICE TANK C,Active,NULL,SHERRI,2026-03-25 13:33:15.000,2026-02-05 00:00:00.000
24-070,R2TCONSTRU,LIME BULK STORAGE TANK #6,Complete,NULL,SHERRI,2026-03-25 13:31:02.000,2024-12-18 00:00:00.000
26-019,GENERA1,NOZZLES W/REPADS,Active,NULL,SHERRI,2026-03-25 13:30:07.000,2026-01-28 00:00:00.000
25-117,MERRINDU,MH-5301-HP-02000-CASING,Active,NULL,SHERRI,2026-03-25 13:22:02.000,2025-11-07 00:00:00.000
25-118,MERRINDU,MH-5301-HP-05000-CASING,Active,NULL,SHERRI,2026-03-25 13:22:02.000,2025-11-07 00:00:00.000
26-030,AMERTERP,0.374 SHELL_205-14 REPLACEMENT,Active,NULL,NICK,2026-03-25 13:14:33.000,2026-03-20 00:00:00.000
26-031,SOLVSPEC,CRUDE CRYSTALIZER SURGE DRUM,Active,NULL,NICK,2026-03-25 13:05:56.000,2026-03-24 00:00:00.000
25-068,RECOCOMM,BUFFER TANK #13,Active,NULL,SHERRI,2026-03-25 13:01:37.000,2025-06-13 00:00:00.000
25-092,AMERTERP,CARBON UNIT #1,Active,NULL,SHERRI,2026-03-25 13:01:37.000,2025-09-10 00:00:00.000
25-066,RECOCOMM,BUFFER TANK #11,Complete,NULL,SHERRI,2026-03-25 13:01:37.000,2025-06-13 00:00:00.000
25-067,RECOCOMM,BUFFER TANK #12,Complete,NULL,SHERRI,2026-03-25 13:01:37.000,2025-06-13 00:00:00.000
OH-26,SAVATANK,NULL,Active,NULL,SHERRI,2026-03-25 10:44:00.000,2026-01-02 00:00:00.000
25-099,BURKINDU,CONE BOTTOM W/COIL,Active,NULL,SHERRI,2026-03-25 10:42:47.000,2025-10-02 00:00:00.000
26-033,KIMBCLAR,SEAL TANK,Active,NULL,SHERRI,2026-03-25 10:17:18.000,2026-03-25 00:00:00.000
26-032,KIMBCLAR,DRAINAGE BOX SEPARATOR,Active,NULL,SHERRI,2026-03-25 10:08:16.000,2026-03-25 00:00:00.000
25-070,RECOCOMM,BUFFER TANK #15,Active,NULL,SCOTT,2026-03-25 08:29:13.000,2025-06-13 00:00:00.000
25-069,RECOCOMM,BUFFER TANK #14,Active,NULL,SCOTT,2026-03-25 08:29:13.000,2025-06-13 00:00:00.000
25-101,HARPLOVE,T-1615 RUPTURE DISK CATCH TANK,Active,NULL,SCOTT,2026-03-25 08:26:20.000,2025-10-27 00:00:00.000
25-093,AMERTERP,CARBON UNIT #2,Active,NULL,SCOTT,2026-03-25 08:25:58.000,2025-09-10 00:00:00.000
25-013,KIMBCLAR,340-TK-34001,Active,NULL,SCOTT,2026-03-25 08:06:56.000,2025-01-28 00:00:00.000
25-071,RECOCOMM,BUFFER TANK #16,Active,NULL,SCOTT,2026-03-25 08:05:07.000,2025-06-13 00:00:00.000
24-046,SYMSENGI,NMP STORAGE TANK (TK-F502R),Active,NULL,SCOTT,2026-03-25 07:36:00.000,2024-08-15 00:00:00.000
25-124,VERTCORP,BUFFER TANK 1 OF 224,Active,NULL,SHERRI,2026-03-24 14:55:55.000,2025-12-15 00:00:00.000
25-040,NAKKILNS,HR 120 SHELL,Active,NULL,SCOTT,2026-03-24 07:50:16.000,2025-03-05 00:00:00.000
24-064,R2TCONSTRU,LIME DAY TANK #2,Complete,NULL,SHERRI,2026-03-22 13:50:20.000,2024-12-18 00:00:00.000
25-052,KRATCHEM,SKIM OIL TANK,Complete,NULL,SHERRI,2026-03-22 13:47:52.000,2025-05-19 00:00:00.000
25-018,KIMBCLAR,420-BT-42001,Complete,NULL,SHERRI,2026-03-22 13:47:52.000,2025-01-28 00:00:00.000
25-106,EPICSYST,T-121,Active,NULL,SHERRI,2026-03-22 13:47:01.000,2025-10-31 00:00:00.000
25-007,KIMBCLAR,160-TK-16001,Complete,NULL,SHERRI,2026-03-22 13:47:00.000,2025-01-28 00:00:00.000
25-144,VERTCORP,BUFFER TANK 21 OF 224,Active,NULL,SCOTT,2026-03-21 08:24:01.000,2025-12-15 00:00:00.000
25-136,VERTCORP,BUFFER TANK 13 OF 224,Active,NULL,SCOTT,2026-03-21 08:24:01.000,2025-12-15 00:00:00.000
25-135,VERTCORP,BUFFER TANK 12 OF 224,Active,NULL,SCOTT,2026-03-21 08:17:26.000,2025-12-15 00:00:00.000
25-149,VERTCORP,BUFFER TANK 26 OF 224,Active,NULL,SCOTT,2026-03-21 08:16:01.000,2025-12-15 00:00:00.000
25-164,VERTCORP,BUFFER TANK 41 OF 224,Active,NULL,SCOTT,2026-03-21 08:16:01.000,2025-12-15 00:00:00.000
25-145,VERTCORP,BUFFER TANK 22 OF 224,Active,NULL,SCOTT,2026-03-21 08:09:12.000,2025-12-15 00:00:00.000
25-130,VERTCORP,BUFFER TANK 7 OF 224,Active,NULL,SCOTT,2026-03-21 08:09:12.000,2025-12-15 00:00:00.000
25-171,VERTCORP,BUFFER TANK 48 OF 224,Active,NULL,SCOTT,2026-03-21 08:06:42.000,2026-01-02 00:00:00.000
25-172,VERTCORP,BUFFER TANK 49 OF 224,Active,NULL,SCOTT,2026-03-21 08:06:42.000,2025-12-15 00:00:00.000
25-173,VERTCORP,BUFFER TANK 50 OF 224,Active,NULL,SCOTT,2026-03-21 08:06:42.000,2025-12-15 00:00:00.000
25-165,VERTCORP,BUFFER TANK 42 OF 224,Active,NULL,SCOTT,2026-03-21 08:06:41.000,2025-12-15 00:00:00.000
25-166,VERTCORP,BUFFER TANK 43 OF 224,Active,NULL,SCOTT,2026-03-21 08:06:41.000,2025-12-15 00:00:00.000
25-167,VERTCORP,BUFFER TANK 44 OF 224,Active,NULL,SCOTT,2026-03-21 08:06:41.000,2025-12-15 00:00:00.000
25-168,VERTCORP,BUFFER TANK 45 OF 224,Active,NULL,SCOTT,2026-03-21 08:06:41.000,2025-12-15 00:00:00.000
25-169,VERTCORP,BUFFER TANK 46 OF 224,Active,NULL,SCOTT,2026-03-21 08:06:41.000,2025-12-15 00:00:00.000
25-170,VERTCORP,BUFFER TANK 47 OF 224,Active,NULL,SCOTT,2026-03-21 08:06:41.000,2026-01-02 00:00:00.000
25-154,VERTCORP,BUFFER TANK 31 OF 224,Active,NULL,SCOTT,2026-03-21 08:01:46.000,2025-12-15 00:00:00.000
25-174,VERTCORP,BUFFER TANK 51 OF 224,Active,NULL,SCOTT,2026-03-21 07:56:08.000,2025-12-15 00:00:00.000
25-155,VERTCORP,BUFFER TANK 32 OF 224,Active,NULL,SCOTT,2026-03-21 07:53:11.000,2025-12-15 00:00:00.000
25-156,VERTCORP,BUFFER TANK 33 OF 224,Active,NULL,SCOTT,2026-03-21 07:53:11.000,2025-12-15 00:00:00.000
25-150,VERTCORP,BUFFER TANK 27 OF 224,Active,NULL,SCOTT,2026-03-21 07:50:22.000,2025-12-15 00:00:00.000
25-125,VERTCORP,BUFFER TANK 2 OF 224,Active,NULL,SCOTT,2026-03-21 07:42:39.000,2025-12-15 00:00:00.000
26-025,BLAKPEND,AIR RECEIVER TANK,Active,NULL,NICK,2026-03-20 12:34:56.000,2026-03-11 00:00:00.000
26-029,AMERTERP,ALLOWABLE NOZZLE LOAD ANALYSIS,Active,NULL,SHERRI,2026-03-20 12:32:29.000,2026-03-20 00:00:00.000
26-028,KEMIRAWS,t-107R DRAWING,Active,NULL,SHERRI,2026-03-20 12:25:32.000,2026-03-20 00:00:00.000
26-027,KEMIRAWS,t-103R DRAWING,Active,NULL,SHERRI,2026-03-20 12:23:04.000,2026-03-20 00:00:00.000
