Customer,Name,Status,Job_Count,Total_Revenue,First_Order,Last_Order
VERTCORP,VERTIV CORPORATION,Active,242,5938250.0000,2025-11-14 00:00:00,2026-04-08 00:00:00
NEPHNITR,"NEPHRON NITRILE, LLC",Active,44,5105330.0000,2021-08-31 00:00:00,2022-10-04 00:00:00
FLOQENGI,FLOQUIP ENGINEERIING CO,Active,55,4551022.0000,2015-05-26 00:00:00,2026-01-19 00:00:00
ONEACONS,O'NEAL CONSTRUCTORS LLC,Active,64,4479231.0000,2016-02-15 00:00:00,2021-12-27 00:00:00
SOLVSPEC,SOLVAY SPECIALTY POLYMERS USA LLC,Active,107,3879602.0000,2015-03-19 00:00:00,2026-03-24 00:00:00
ANDRITZI,ANDRITZ INC,Active,36,3732728.0000,2015-07-02 00:00:00,2026-03-16 00:00:00
RECOCOMM,RECO COMMERCIAL SYSTEMS,Active,26,3461000.0000,2025-06-13 00:00:00,2026-04-06 00:00:00
SYMSENGI,"SYMS ENGINEERING, INC.",Active,16,2730100.0000,2023-02-01 00:00:00,2024-08-15 00:00:00
IRVCPROD,"IRVING CONSUMER PRODUCTS, INC.",Active,53,2416159.0600,2017-12-13 00:00:00,2025-06-16 00:00:00
KEMIRAWS,KEMIRA WATER SOLUTIONS INC.,Active,11,2234948.0000,2019-08-02 00:00:00,2026-03-20 00:00:00
KIMBCLAR,KIMBERLY CLARK CORP,Active,22,2114325.0000,2025-01-28 00:00:00,2026-03-25 00:00:00
YATECONS,W.G. YATES & SONS CONSTRUCTION COMPANY,Active,33,1926140.0000,2019-09-20 00:00:00,2020-11-23 00:00:00
MILLIKEN,MILLIKEN & CO,Active,71,1821995.0000,2015-05-07 00:00:00,2025-09-22 00:00:00
NUTRIEN,"PCS PHOSPHATE COMPANY, INC.",Active,21,1703675.0000,2020-03-24 00:00:00,2024-01-25 00:00:00
KAOSPECI,KAO SPECIALTIES AMERICAS LLC,Active,25,1662550.0000,2022-10-03 00:00:00,2024-08-30 00:00:00
TURNCONS,TURNER CONSTRUCTION COMPANY,Active,26,1571815.0000,2023-02-16 00:00:00,2024-04-03 00:00:00
WEYERHAEU,WEYERHAEUSER NR COMPANY,Active,9,1458500.0000,2026-04-14 00:00:00,2026-04-14 00:00:00
R2TCONSTRU,R2T CONSTRUCTORS,Active,11,1399154.0000,2024-12-18 00:00:00,2025-05-21 00:00:00
USSUGARC,US SUGAR CORPORATION,Active,17,1254955.0000,2016-12-14 00:00:00,2026-02-05 00:00:00
ROSENBLAD,"ROSENBLAD DESIGN GROUP, INC.",Active,21,1245682.5000,2018-01-14 00:00:00,2024-08-28 00:00:00
NANTRENE,"NANT RENEWABLES, LLC",Active,14,1195200.0000,2022-08-09 00:00:00,2024-05-31 00:00:00
SYMRISE,SYMRISE,Active,14,1192050.0000,2019-08-01 00:00:00,2023-05-03 00:00:00
POLYCOMP,POLYNT COMPOSITES USA INC,Active,8,1163168.0000,2016-10-21 00:00:00,2026-03-05 00:00:00
NAKKILNS,"NAK KILN SERVICES, LLC",Active,1,1128000.0000,2025-03-05 00:00:00,2025-03-05 00:00:00
EPICSYST,EPIC SYSTEMS GROUP. LLC - P&M,Active,29,1114800.0000,2022-05-19 00:00:00,2025-11-03 00:00:00
KOCHMODU,"KOCH MODULAR PROCESS SYSTEMS, LLC",Active,8,1111039.0000,2022-08-15 00:00:00,2023-06-22 00:00:00
TELLPROD,TELLUS PRODUCTS,Active,15,1105425.0000,2016-10-06 00:00:00,2025-07-30 00:00:00
REICHHOLD,REICHHOLD LLC2,Active,11,1083720.0000,2021-05-05 00:00:00,2023-02-21 00:00:00
GEOCYCLE,GEOCYCLE LLC,Active,5,1032700.0000,2023-10-11 00:00:00,2024-08-29 00:00:00
BERNHARD,"ENFRA MCC, LLC",Active,7,1031300.0000,2024-03-15 00:00:00,2024-03-15 00:00:00
THEINDUS,TIC-THE INDUSTRIAL COMPANY,Active,11,1014956.0000,2023-11-17 00:00:00,2025-05-12 00:00:00
WAKOCHEM,WAKO CHEMICALS USA INC,Active,28,1003794.0000,2016-12-12 00:00:00,2017-10-19 00:00:00
ARCHWOOD,"ARCH WOOD PROTECTION, INC.",Active,7,958550.0000,2023-06-05 00:00:00,2023-06-05 00:00:00
KIMCLARK,KIMBERLY-CLARK,Active,6,881650.0000,2018-08-28 00:00:00,2020-01-07 00:00:00
KRATCHEM,"KRATON CHEMICAL, LLC",Active,6,868450.0000,2019-05-07 00:00:00,2025-05-19 00:00:00
ENCHEMAM,"ENCHEM AMERICA, LLC",Active,9,864500.0000,2022-02-21 00:00:00,2023-09-20 00:00:00
VALMETIN,"VALMET, INC.",Active,1,835000.0000,2025-08-25 00:00:00,2025-08-25 00:00:00
BCRENVIR,BCR ENVIRONMENTAL CORP,Active,9,807450.0000,2019-03-11 00:00:00,2022-03-22 00:00:00
SYS-CON,SYS-CON LLC,Active,16,786559.0000,2015-12-17 00:00:00,2017-07-24 00:00:00
CANNONUSA,CANNON USA,Active,19,768285.0000,2020-08-10 00:00:00,2024-04-30 00:00:00
HARPLOVE,HARPERLOVE,Active,6,751020.0000,2018-03-28 00:00:00,2025-10-27 00:00:00
FUJIVEGE,FUJI VEGETABLE OIL INC,Active,11,725489.0000,2015-04-24 00:00:00,2018-12-10 00:00:00
PINOVAIN,PINOVA INC,Active,12,673140.0000,2018-02-14 00:00:00,2022-09-22 00:00:00
COLOCHEM,"COLONIAL CHEMICAL, INC.",Active,5,647050.0000,2023-02-28 00:00:00,2023-04-11 00:00:00
PILGRIMS,PILGRIM'S PRIDE,Active,9,638025.0000,2019-05-30 00:00:00,2020-12-28 00:00:00
LIOCHEM1,LIOCHEM,Active,8,625300.0000,2020-02-21 00:00:00,2024-01-25 00:00:00
YESACORP,YESAC CORPORATION,Active,7,582711.0000,2015-01-24 00:00:00,2022-11-14 00:00:00
PERDUE,PERDUE AGRIBUSINESS LLC,Active,3,571500.0000,2024-03-15 00:00:00,2024-03-15 00:00:00
ASHLANDI,ASHLAND INC,Active,14,566802.0000,2015-08-11 00:00:00,2017-06-01 00:00:00
NOAHINDU,NOAH INDUSTRIAL,Active,5,561250.0000,2021-08-30 00:00:00,2025-07-22 00:00:00
ALLNEXUS,ALLNEX USA INC,Active,14,544604.0000,2015-07-09 00:00:00,2019-07-21 00:00:00
AJAYNAMER,"AJAY NORTH AMERICA, LLC",Active,5,538775.0000,2019-05-08 00:00:00,2025-02-21 00:00:00
SABIGOLD,SABINA GOLD & SILVER CORP.,Active,11,516800.0000,2022-12-27 00:00:00,2022-12-27 00:00:00
PCSPHOSP,PCS PHOSPHATE COMPANY INC,Active,6,489670.0000,2016-10-12 00:00:00,2019-08-27 00:00:00
HALOPROD,HALOCARBON PRODUCTS CORP,Active,38,488844.0000,2015-01-08 00:00:00,2023-09-07 00:00:00
ARIZCHEM,ARIZONA CHEMICAL,Active,5,486430.0000,2016-09-13 00:00:00,2016-09-22 00:00:00
ZACHGROU,ZACHRY INDUSTRIAL INC.,Active,5,481610.0000,2017-09-05 00:00:00,2023-03-07 00:00:00
S&STECHN,S&S TECHNICAL LLC,Active,21,473725.0000,2016-10-12 00:00:00,2020-08-07 00:00:00
NUTEMANA,NUTERRA MANAGEMENT LLC,Active,18,441496.0000,2015-09-02 00:00:00,2017-05-18 00:00:00
CYTECIND,"CYTEC INDUSTRIES INC., NA",Active,11,431200.0000,2022-04-11 00:00:00,2025-01-21 00:00:00
KEMIWATE,"KEMIRA WATER SOUTIONS CANADA, INC.",Active,3,413700.0000,2019-04-26 00:00:00,2020-10-14 00:00:00
ASHLSPEC,ASHLAND SPECIALTY INGREDIENTS GP,Active,12,412017.0000,2015-06-12 00:00:00,2016-09-22 00:00:00
IFFCHEMI,"IFF CHEMICAL HOLDINGS, INC.",Active,7,370550.0000,2017-06-30 00:00:00,2022-08-10 00:00:00
GARRMACH,GARRETT MACHINE,Active,20,348450.0000,2017-04-20 00:00:00,2024-05-30 00:00:00
ACCURATE,"ACCURATE SPECIALIZED CARRIERS, LLC",Active,1,344181.2500,2021-03-09 00:00:00,2021-03-09 00:00:00
CONCRET,"CON-CRET, LLC",Active,4,338800.0000,2021-12-27 00:00:00,2023-05-30 00:00:00
INTEPAPE,INTERNATIONAL PAPER-SAVANNAH,Active,5,325600.0000,2018-02-01 00:00:00,2022-07-06 00:00:00
SYNTHOMER,SYNTHOMER INC.,Active,3,321600.0000,2025-07-14 00:00:00,2026-01-19 00:00:00
AMERTERP,AMERITERPENES LLC,Active,4,321500.0000,2025-09-10 00:00:00,2026-03-20 00:00:00
SOLVAUGU,"SOLVAY SPECIALTY POLYMERS USA, LLC",Active,1,311295.0000,2022-01-24 00:00:00,2022-01-24 00:00:00
THIEKAOL,THIELE KAOLIN COMPANY,Active,6,308975.0000,2017-03-08 00:00:00,2025-01-17 00:00:00
BURKINDU,"BURKE INDUSTRIAL, INC.",Active,3,304750.0000,2025-06-16 00:00:00,2025-10-02 00:00:00
TRINMANU,TRINITY MANUFACTURING INC,Active,12,295231.0000,2015-06-15 00:00:00,2019-12-03 00:00:00
GEORPACI,GEORGIA PACIFIC,Active,9,288391.0000,2014-11-12 00:00:00,2017-06-27 00:00:00
