Job,Promised_Date,Requested_Date,Shipped_Date,Shipped_Quantity,Promised_Quantity,Customer,Description
24-063,2026-04-15 00:00:00,2026-04-15 00:00:00,2026-04-15 00:00:00,1,1,R2TCONSTRU,LIME DAY TANK #1
25-069,2026-04-13 00:00:00,2026-04-13 00:00:00,2026-04-13 00:00:00,1,1,RECOCOMM,BUFFER TANK #14
25-083,2026-04-13 00:00:00,2026-04-13 00:00:00,2026-04-13 00:00:00,1,1,SYNTHOMER,REACTOR 12
24-065,2026-03-31 00:00:00,2026-03-31 00:00:00,2026-03-31 00:00:00,0,0,R2TCONSTRU,LIME BULK STORAGE TANK #1
24-067,2026-03-31 00:00:00,2026-03-31 00:00:00,2026-03-31 00:00:00,1,1,R2TCONSTRU,LIME BULK STORAGE TANK #3
25-068,2026-03-30 00:00:00,2026-03-30 00:00:00,2026-03-30 00:00:00,1,1,RECOCOMM,BUFFER TANK #13
25-012,2026-03-30 00:00:00,2026-03-30 00:00:00,2026-03-30 00:00:00,1,1,KIMBCLAR,330-TK-3301
25-013,2026-03-30 00:00:00,2026-03-30 00:00:00,2026-03-30 00:00:00,1,1,KIMBCLAR,340-TK-34001
25-124,2026-03-26 00:00:00,2026-03-26 00:00:00,2026-03-26 00:00:00,1,1,VERTCORP,BUFFER TANK 1 OF 224
25-099,2026-03-25 00:00:00,2026-03-25 00:00:00,2026-03-25 00:00:00,1,1,BURKINDU,CONE BOTTOM W/COIL
25-066,2026-03-17 00:00:00,2026-03-17 00:00:00,2026-03-17 00:00:00,1,1,RECOCOMM,BUFFER TANK #11
25-067,2026-03-17 00:00:00,2026-03-17 00:00:00,2026-03-17 00:00:00,1,1,RECOCOMM,BUFFER TANK #12
25-128,2026-03-16 00:00:00,2026-03-16 00:00:00,2026-03-16 00:00:00,1,1,VERTCORP,BUFFER TANK 5 OF 224
25-018,2026-03-13 00:00:00,2026-03-13 00:00:00,2026-03-13 00:00:00,1,1,KIMBCLAR,420-BT-42001
25-007,2026-03-13 00:00:00,2026-03-13 00:00:00,2026-03-13 00:00:00,1,1,KIMBCLAR,160-TK-16001
25-018,2026-03-10 00:00:00,2026-03-10 00:00:00,2026-03-10 00:00:00,1,1,KIMBCLAR,420-BT-42001
25-089,2026-03-05 00:00:00,2026-03-05 00:00:00,2026-03-05 00:00:00,1,1,VALMETIN,DISSOLVING TANK
25-089,2026-03-05 00:00:00,2026-03-05 00:00:00,2026-03-06 00:00:00,1,1,VALMETIN,DISSOLVING TANK
25-089,2026-03-05 00:00:00,2026-03-05 00:00:00,2026-03-06 00:00:00,1,1,VALMETIN,DISSOLVING TANK
25-016,2026-02-19 00:00:00,2026-02-19 00:00:00,2026-02-20 00:00:00,1,1,KIMBCLAR,370-TK-37001
25-019,2026-02-19 00:00:00,2026-02-19 00:00:00,2026-02-20 00:00:00,1,1,KIMBCLAR,520-TK-52001
25-021,2026-02-19 00:00:00,2026-02-19 00:00:00,2026-02-19 00:00:00,1,1,KIMBCLAR,861-TK-86101
25-010,2026-02-19 00:00:00,2026-02-19 00:00:00,2026-02-20 00:00:00,1,1,KIMBCLAR,220-TK-22112
25-064,2026-02-16 00:00:00,2026-02-16 00:00:00,2026-02-16 00:00:00,1,1,RECOCOMM,BUFFER TANK #9
25-065,2026-02-16 00:00:00,2026-02-16 00:00:00,2026-02-16 00:00:00,1,1,RECOCOMM,BUFFER TANK #10
25-020,2026-02-04 00:00:00,2026-02-04 00:00:00,2026-02-04 00:00:00,1,1,KIMBCLAR,360-TK-36102
25-011,2026-02-04 00:00:00,2026-02-04 00:00:00,2026-02-04 00:00:00,1,1,KIMBCLAR,230-TK-23001
25-062,2026-02-02 00:00:00,2026-02-02 00:00:00,2026-02-02 00:00:00,1,1,RECOCOMM,BUFFER TANK #7
25-063,2026-02-02 00:00:00,2026-02-02 00:00:00,2026-02-02 00:00:00,1,1,RECOCOMM,BUFFER TANK #8
25-094,2026-01-20 00:00:00,2026-01-20 00:00:00,2026-01-21 00:00:00,1,1,KIMBCLAR,420-TK-42003
25-017,2026-01-20 00:00:00,2026-01-20 00:00:00,2026-01-21 00:00:00,1,1,KIMBCLAR,370-TK-37005
25-052,2026-01-13 00:00:00,2026-01-13 00:00:00,2026-01-13 00:00:00,1,1,KRATCHEM,SKIM OIL TANK
25-060,2026-01-13 00:00:00,2026-01-13 00:00:00,2026-01-13 00:00:00,1,1,RECOCOMM,BUFFER TANK #5
25-061,2026-01-13 00:00:00,2026-01-13 00:00:00,2026-01-13 00:00:00,1,1,RECOCOMM,BUFFER TANK #6
25-080,2026-01-06 00:00:00,2026-01-06 00:00:00,2026-01-06 00:00:00,1,1,DOMTARPA,DAF FILTRATE TANK
25-077,2026-01-05 00:00:00,2026-01-05 00:00:00,2026-01-06 00:00:00,1,1,EPICSYST,R-301 DMN CSTR
25-078,2026-01-05 00:00:00,2026-01-05 00:00:00,2026-01-06 00:00:00,1,1,EPICSYST,R-310 PACKED BED REACTOR
25-079,2026-01-05 00:00:00,2026-01-05 00:00:00,2026-01-06 00:00:00,1,1,EPICSYST,R-311 PACKED BED REACTOR
25-096,2026-01-05 00:00:00,2026-01-05 00:00:00,2026-01-07 00:00:00,1,1,MILLIKEN,T-3405
25-097,2026-01-05 00:00:00,2026-01-05 00:00:00,2026-01-07 00:00:00,1,1,MILLIKEN,T-3505
25-052,2025-12-29 00:00:00,2025-12-29 00:00:00,2025-12-29 00:00:00,1,1,KRATCHEM,SKIM OIL TANK
25-052,2025-12-28 00:00:00,2025-12-28 00:00:00,2025-12-29 00:00:00,1,1,KRATCHEM,SKIM OIL TANK
25-074,2025-12-17 00:00:00,2025-12-17 00:00:00,2025-12-17 00:00:00,1,1,KEMIRAWS,T306 FERRIC SULFATE STORAGE TANK
25-058,2025-12-16 00:00:00,2025-12-16 00:00:00,2025-12-18 00:00:00,1,1,RECOCOMM,BUFFER TANK #3
25-059,2025-12-16 00:00:00,2025-12-16 00:00:00,2025-12-16 00:00:00,1,1,RECOCOMM,BUFFER TANK #4
25-085,2025-12-08 00:00:00,2025-12-08 00:00:00,2025-12-08 00:00:00,1,1,NOAHINDU,HIGH FBCR TANK (316 OPTION)
25-075,2025-12-02 00:00:00,2025-12-02 00:00:00,2025-12-03 00:00:00,1,1,KEMIRAWS,SULFURIC ACID TANK
25-054,2025-11-24 00:00:00,2025-11-24 00:00:00,2025-11-24 00:00:00,1,1,CHROMASC,CHLOROSULFONIC ACID BULK STORAGE TK
25-031,2025-11-20 00:00:00,2025-11-20 00:00:00,2025-11-20 00:00:00,1,1,IRVCPROD,WET STRENGTH RESIN BULK STORAGE TK#1
25-088,2025-11-14 00:00:00,2025-11-14 00:00:00,2025-11-18 00:00:00,1,1,CILISOTOPE,BALLAST TANK
25-056,2025-11-11 00:00:00,2025-11-11 00:00:00,2025-11-11 00:00:00,1,1,RECOCOMM,BUFFER TANK #1
25-057,2025-11-11 00:00:00,2025-11-11 00:00:00,2025-11-11 00:00:00,1,1,RECOCOMM,BUFFER TANK #2
25-014,2025-11-06 00:00:00,2025-11-06 00:00:00,2025-11-06 00:00:00,1,1,KIMBCLAR,360-TK-36006
25-015,2025-11-06 00:00:00,2025-11-06 00:00:00,2025-11-06 00:00:00,1,1,KIMBCLAR,360-TK-36101
25-032,2025-10-28 00:00:00,2025-10-28 00:00:00,2025-10-28 00:00:00,1,1,IRVCPROD,WET STRENGTH RESIN BULK STORAGE TK#2
25-033,2025-10-27 00:00:00,2025-10-27 00:00:00,2025-10-28 00:00:00,1,1,IRVCPROD,BOW SCREEN RECOVERED FIBER TANK
25-031,2025-10-27 00:00:00,2025-10-27 00:00:00,2025-10-28 00:00:00,1,1,IRVCPROD,WET STRENGTH RESIN BULK STORAGE TK#1
25-100,2025-10-27 00:00:00,2025-10-27 00:00:00,2025-10-27 00:00:00,1,1,CONSDESI,(8) ANCHOR CHAIRS
24-070,2025-10-23 00:00:00,2025-10-23 00:00:00,2025-10-23 00:00:00,1,1,R2TCONSTRU,LIME BULK STORAGE TANK #6
24-067,2025-10-23 00:00:00,2025-10-23 00:00:00,2025-10-23 00:00:00,1,1,R2TCONSTRU,LIME BULK STORAGE TANK #3
24-068,2025-10-23 00:00:00,2025-10-23 00:00:00,2025-10-23 00:00:00,1,1,R2TCONSTRU,LIME BULK STORAGE TANK #4
24-069,2025-10-23 00:00:00,2025-10-23 00:00:00,2025-10-23 00:00:00,1,1,R2TCONSTRU,LIME BULK STORAGE TANK #5
24-063,2025-10-22 00:00:00,2025-10-22 00:00:00,2025-10-22 00:00:00,1,1,R2TCONSTRU,LIME DAY TANK #1
24-064,2025-10-22 00:00:00,2025-10-22 00:00:00,2025-10-22 00:00:00,1,1,R2TCONSTRU,LIME DAY TANK #2
25-087,2025-10-22 00:00:00,2025-10-22 00:00:00,2025-10-22 00:00:00,1,1,SOLVAY-ALP,WASTE WATER TANK
24-065,2025-10-15 00:00:00,2025-10-15 00:00:00,2025-10-15 00:00:00,1,1,R2TCONSTRU,LIME BULK STORAGE TANK #1
24-066,2025-10-14 00:00:00,2025-10-14 00:00:00,2025-10-15 00:00:00,1,1,R2TCONSTRU,LIME BULK STORAGE TANK #2
25-008,2025-10-14 00:00:00,2025-10-14 00:00:00,2025-10-16 00:00:00,1,1,KIMBCLAR,160-TK-22006
25-009,2025-10-14 00:00:00,2025-10-14 00:00:00,2025-10-16 00:00:00,1,1,KIMBCLAR,220-TK-22001
25-007,2025-10-14 00:00:00,2025-10-14 00:00:00,2025-10-15 00:00:00,1,1,KIMBCLAR,160-TK-16001
25-030,2025-10-08 00:00:00,2025-10-08 00:00:00,2025-10-08 00:00:00,1,1,IRVCPROD,DAF RECOVERED FIBER TANK
25-027,2025-10-08 00:00:00,2025-10-08 00:00:00,2025-10-08 00:00:00,1,1,IRVCPROD,YANKEE MACHINE CHEST
25-029,2025-10-08 00:00:00,2025-10-08 00:00:00,2025-10-08 00:00:00,1,1,IRVCPROD,TAD MACHINE CHEST
25-028,2025-10-02 00:00:00,2025-10-02 00:00:00,2025-10-02 00:00:00,1,1,IRVCPROD,CORE MACHINE CHEST
25-027,2025-10-02 00:00:00,2025-10-02 00:00:00,2025-10-02 00:00:00,1,1,IRVCPROD,YANKEE MACHINE CHEST
25-029,2025-09-30 00:00:00,2025-09-30 00:00:00,2025-09-30 00:00:00,1,1,IRVCPROD,TAD MACHINE CHEST
25-030,2025-09-30 00:00:00,2025-09-30 00:00:00,2025-09-30 00:00:00,1,1,IRVCPROD,DAF RECOVERED FIBER TANK
25-076,2025-09-30 00:00:00,2025-09-30 00:00:00,2025-09-30 00:00:00,1,1,IRVCPROD,GLUE CONTAINMENT DROPLET SEAL POT
25-073,2025-09-24 00:00:00,2025-09-24 00:00:00,2025-09-24 00:00:00,1,1,BURKINDU,SS STORAGE TANK #2
25-072,2025-09-22 00:00:00,2025-09-22 00:00:00,2025-09-22 00:00:00,1,1,BURKINDU,SS STORAGE TANK #1
25-037,2025-09-05 00:00:00,2025-09-05 00:00:00,2025-09-05 00:00:00,1,1,IRVCPROD,DRY STRENGTH BULK TANK
25-026,2025-09-05 00:00:00,2025-09-05 00:00:00,2025-09-05 00:00:00,1,1,IRVCPROD,CREPING ADHESIVE BULK TANK
25-025,2025-09-04 00:00:00,2025-09-04 00:00:00,2025-09-04 00:00:00,1,1,IRVCPROD,TAD FABRIC RELEASE BULK TANK
25-026,2025-09-04 00:00:00,2025-09-04 00:00:00,2025-09-04 00:00:00,1,1,IRVCPROD,CREPING ADHESIVE BULK TANK
25-037,2025-09-04 00:00:00,2025-09-04 00:00:00,2025-09-04 00:00:00,1,1,IRVCPROD,DRY STRENGTH BULK TANK
25-042,2025-08-27 00:00:00,2025-08-27 00:00:00,2025-08-27 00:00:00,0,0,ANDRITZI,FOUL CONDENSATE TANK
25-034,2025-08-27 00:00:00,2025-08-27 00:00:00,2025-08-27 00:00:00,1,1,IRVCPROD,TAD SEAL POT
25-035,2025-08-27 00:00:00,2025-08-27 00:00:00,2025-08-27 00:00:00,1,1,IRVCPROD,FORMING SEAL POT
25-036,2025-08-27 00:00:00,2025-08-27 00:00:00,2025-08-27 00:00:00,1,1,IRVCPROD,DB TAD SEAL POT
25-039,2025-08-15 00:00:00,2025-08-15 00:00:00,2025-08-15 00:00:00,1,1,ZACHMAIN,FILTER TANK
25-044,2025-08-13 00:00:00,2025-08-13 00:00:00,2025-08-13 00:00:00,1,1,NOAHINDU,CLEAR CHEST
25-044,2025-08-13 00:00:00,2025-08-13 00:00:00,2025-08-14 00:00:00,1,1,NOAHINDU,CLEAR CHEST
24-068,2025-08-12 00:00:00,2025-08-12 00:00:00,2025-08-12 00:00:00,1,1,R2TCONSTRU,LIME BULK STORAGE TANK #4
24-067,2025-08-12 00:00:00,2025-08-12 00:00:00,2025-08-12 00:00:00,1,1,R2TCONSTRU,LIME BULK STORAGE TANK #3
24-070,2025-08-05 00:00:00,2025-08-05 00:00:00,2025-08-05 00:00:00,1,1,R2TCONSTRU,LIME BULK STORAGE TANK #6
24-069,2025-08-05 00:00:00,2025-08-05 00:00:00,2025-08-05 00:00:00,1,1,R2TCONSTRU,LIME BULK STORAGE TANK #5
25-002,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,1,1,THIEKAOL,SURGE TANK
25-003,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,1,1,THIEKAOL,BLUNGER TANK #3
25-004,2025-06-25 00:00:00,2025-06-25 00:00:00,2025-06-25 00:00:00,1,1,THIEKAOL,BLUNGER TANK #4
25-005,2025-06-03 00:00:00,2025-06-03 00:00:00,2025-06-03 00:00:00,1,1,CYTECIND,P-50 REPLACEMENT
24-062,2025-06-03 00:00:00,2025-06-03 00:00:00,2025-06-03 00:00:00,1,1,CONSDESI,CHILL WATER TANK
25-023,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,1,1,ANDRITZI,PRODUCT LIQUOR FLASH TANK
25-024,2025-05-27 00:00:00,2025-05-27 00:00:00,2025-05-27 00:00:00,1,1,ANDRITZI,CLEAN CONDENSATE SURGE TANK
24-062,2025-05-21 00:00:00,2025-05-21 00:00:00,2025-05-22 00:00:00,1,1,CONSDESI,CHILL WATER TANK
24-047,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F402)
24-048,2025-04-08 00:00:00,2025-04-08 00:00:00,2025-04-08 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F502)
24-048,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F502)
24-047,2025-04-04 00:00:00,2025-04-04 00:00:00,2025-04-04 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F402)
24-053,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,1,1,GEOCYCLE,40K GALLON TANK #3
24-054,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,1,1,GEOCYCLE,40K GALLON TANK #4
24-055,2025-04-01 00:00:00,2025-04-01 00:00:00,2025-04-01 00:00:00,1,1,GEOCYCLE,40K GALLON TANK #5
24-055,2025-03-28 00:00:00,2025-03-28 00:00:00,2025-03-31 00:00:00,1,1,GEOCYCLE,40K GALLON TANK #5
24-054,2025-03-28 00:00:00,2025-03-28 00:00:00,2025-03-31 00:00:00,1,1,GEOCYCLE,40K GALLON TANK #4
24-053,2025-03-24 00:00:00,2025-03-24 00:00:00,2025-03-24 00:00:00,1,1,GEOCYCLE,40K GALLON TANK #3
24-004,2025-03-20 00:00:00,2025-03-20 00:00:00,2025-03-21 00:00:00,1,1,KEMIRAWS,SOLUTIZER
23-041,2025-02-04 00:00:00,2025-02-04 00:00:00,2025-02-04 00:00:00,1,1,ENCHEMAM,300 M3 SS API TANK (FIELD KIT)
24-052,2025-01-31 00:00:00,2025-01-31 00:00:00,2025-02-03 00:00:00,1,1,KEMIRAWS,ACID OVERFLOW TANK
24-051,2025-01-30 00:00:00,2025-01-30 00:00:00,2025-01-31 00:00:00,1,1,KEMIRAWS,NEW ACID TANK
24-015,2025-01-24 00:00:00,2025-01-24 00:00:00,2025-01-24 00:00:00,1,1,BERNHARD,OIL TANK (T-2620)
24-009,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,1,1,BERNHARD,TCU COOLING WATER TANK (T-2251)
24-010,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,1,1,BERNHARD,EXTRUSION COOLING WATER TANK
24-011,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,1,1,BERNHARD,CONDENSATE SYS TK (T-2741)
24-013,2025-01-15 00:00:00,2025-01-15 00:00:00,2025-01-15 00:00:00,1,1,BERNHARD,CONDENSATE SYS TK (T-3741)
24-041,2025-01-14 00:00:00,2025-01-14 00:00:00,2025-01-14 00:00:00,1,1,SHERWILL,CAULK HOLD TANK
24-014,2025-01-08 00:00:00,2025-01-08 00:00:00,2025-01-08 00:00:00,1,1,BERNHARD,TRENCH RETURN TANK (T-3721)
24-012,2025-01-08 00:00:00,2025-01-08 00:00:00,2025-01-08 00:00:00,1,1,BERNHARD,TRENCH RETURN TANK (T-2721)
24-005,2024-12-05 00:00:00,2024-12-05 00:00:00,2024-12-05 00:00:00,1,1,KEMIRAWS,OXIDIZER
24-060,2024-12-04 00:00:00,2024-12-04 00:00:00,2024-12-04 00:00:00,1,1,GENERA1,NOZZLE SET
24-045,2024-12-03 00:00:00,2024-12-03 00:00:00,2024-12-03 00:00:00,0,0,PISTINDU,OIL/WATER SEPARATION TANK
24-041,2024-11-25 00:00:00,2024-11-25 00:00:00,2024-11-25 00:00:00,1,1,SHERWILL,CAULK HOLD TANK
24-004,2024-11-19 00:00:00,2024-11-19 00:00:00,2024-11-19 00:00:00,0,0,KEMIRAWS,SOLUTIZER
24-015,2024-11-18 00:00:00,2024-11-18 00:00:00,2024-11-18 00:00:00,1,1,BERNHARD,OIL TANK (T-2620)
24-027,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,1,1,GARRMACH,SMALL DRYER PLATE #1
24-028,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,1,1,GARRMACH,SMALL DRYER PLATE #2
24-029,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,1,1,GARRMACH,SMALL DRYER PLATE #3
24-030,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,1,1,GARRMACH,SMALL DRYER PLATE #4
24-031,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,1,1,GARRMACH,SMALL DRYER PLATE #5
24-032,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,1,1,GARRMACH,SMALL DRYER PLATE #6
24-033,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,1,1,GARRMACH,LARGE DRYER PLATE #1
24-034,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,1,1,GARRMACH,LARGE DRYER PLATE #2
24-035,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,1,1,GARRMACH,LARGE DRYER PLATE #3
24-036,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,1,1,GARRMACH,LARGE DRYER PLATE #4
24-042,2024-11-07 00:00:00,2024-11-07 00:00:00,2024-11-07 00:00:00,1,1,SHIMAMER,DW STORAGE TANK
24-017,2024-10-28 00:00:00,2024-10-28 00:00:00,2024-10-29 00:00:00,1,1,PERDUE,RBD OIL TANK #1
24-018,2024-10-28 00:00:00,2024-10-28 00:00:00,2024-10-29 00:00:00,1,1,PERDUE,RBD OIL TANK #2
24-018,2024-10-28 00:00:00,2024-10-28 00:00:00,2024-10-29 00:00:00,1,1,PERDUE,RBD OIL TANK #2
24-019,2024-10-28 00:00:00,2024-10-28 00:00:00,2024-10-29 00:00:00,1,1,PERDUE,RBD OIL TANK #3
24-019,2024-10-28 00:00:00,2024-10-28 00:00:00,2024-10-29 00:00:00,1,1,PERDUE,RBD OIL TANK #3
24-017,2024-10-14 00:00:00,2024-10-14 00:00:00,2024-10-15 00:00:00,1,1,PERDUE,RBD OIL TANK #1
24-056,2024-10-14 00:00:00,2024-10-14 00:00:00,2024-10-14 00:00:00,1,1,GAF11111,(1) SKI PLATE
23-073,2024-10-08 00:00:00,2024-10-08 00:00:00,2024-10-08 00:00:00,1,1,GEOCYCLE,40K GALLON TANK #1
23-074,2024-10-08 00:00:00,2024-10-08 00:00:00,2024-10-08 00:00:00,1,1,GEOCYCLE,40K GALLON TANK #2
23-074,2024-10-07 00:00:00,2024-10-07 00:00:00,2024-10-07 00:00:00,1,1,GEOCYCLE,40K GALLON TANK #2
23-073,2024-10-07 00:00:00,2024-10-07 00:00:00,2024-10-07 00:00:00,1,1,GEOCYCLE,40K GALLON TANK #1
23-096,2024-09-26 00:00:00,2024-09-26 00:00:00,2024-09-26 00:00:00,1,1,THEINDUS,LINE 2 THERMOFORMER BLEND TANK
24-003,2024-09-18 00:00:00,2024-09-18 00:00:00,2024-09-18 00:00:00,1,1,BAKELITE,AQUEOUS AMMONIA TANK
24-003,2024-09-17 00:00:00,2024-09-17 00:00:00,2024-09-18 00:00:00,1,1,BAKELITE,AQUEOUS AMMONIA TANK
24-049,2024-09-10 00:00:00,2024-09-10 00:00:00,2024-09-10 00:00:00,1,1,ROSENBLAD,ROLL (1) SET OF (5) SHELLS
24-006,2024-09-10 00:00:00,2024-09-10 00:00:00,2024-09-10 00:00:00,1,1,CYTECIND,DTBPO PORTABLE TANK
24-044,2024-08-21 00:00:00,2024-08-21 00:00:00,2024-08-21 00:00:00,1,1,ROSENBLAD,FORM ELBOWS
24-002,2024-08-20 00:00:00,2024-08-20 00:00:00,2024-08-20 00:00:00,1,1,NUTRIEN,S33 HAA STRIPPER SEPARATOR
23-070,2024-08-19 00:00:00,2024-08-19 00:00:00,2024-08-20 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F302)
23-070,2024-08-19 00:00:00,2024-08-19 00:00:00,2024-08-19 00:00:00,1,1,SYMSENGI,NMP STORAGE TANK (TK-F302)
23-101,2024-08-15 00:00:00,2024-08-15 00:00:00,2024-08-15 00:00:00,1,1,THEINDUS,LINE 1B THERMOFORMER BLEND TANK
23-099,2024-08-15 00:00:00,2024-08-15 00:00:00,2024-08-15 00:00:00,1,1,THEINDUS,LINE 1 REFINED STOCK TANK
23-100,2024-08-15 00:00:00,2024-08-15 00:00:00,2024-08-15 00:00:00,1,1,THEINDUS,LINE 1A THERMOFORMER BLEND TANK
23-048,2024-08-15 00:00:00,2024-08-15 00:00:00,2024-08-15 00:00:00,1,1,ARCHWOOD,V-3240 MCA STORAGE TANK
23-101,2024-08-14 00:00:00,2024-08-14 00:00:00,2024-08-14 00:00:00,1,1,THEINDUS,LINE 1B THERMOFORMER BLEND TANK
