Material,Description,Req_Count,Total_Est_Qty,Total_Act_Qty,Total_Est_Cost
FREIGHT,Deliver Tank,925,1106.9999999999995,1058.9999999999998,3239042.4242300005
HEAD,Build Head to Specifications,711,1350.0,882.0,4455320.280000001
PLT 304L 1/4 X 60 X,"Plate 304L 1/4""x 60""x",638,1425.4399999999841,1236.5799999999983,2109264.189292019
PIPE 304L 3 SC40 WLD X,"Pipe 304L 3"" Sch40 Welded",473,317.9599999999957,316.9999999999998,76602.78999999998
GASKET,As Specified,449,1092.0,1086.0,100537.89999999998
PIPE 304L 8 SC40 WLD X,"Pipe 304L 8"" Sch40 Welded",379,131.44000000000054,119.06000000000003,85737.05120000134
PAINT&SANDBLAST,Sandblast and Paint Tank,365,866.0,356.0,2929256.5902000004
XRAY SPOT,Spot Xray of Tank,363,423.8299999999999,659.0,43533.16529999999
FLAT 304L 1/4 X 2 X 12',"Flat Stk 304L 1/4""x 2""x 12'",343,671.680000000007,437.07,26410.78729850031
"FLANGE 304L 8""150 RFSO","Flange 304L 8"" 150# RFSO",333,635.0,188.0,109528.62999999935
AG 304L 1/4 X 3 X 3 X 20',"Angle 304L 1/4""x 3""x 3""x 20'",324,200.8400000000005,175.26,43683.02400000009
NUT 2H P 3/4 HH,"Nut 2H Plated 3/4"" HH",315,8833.0,8681.0,4309.997439999998
NUT 2H P 5/8 HH,"Nut 2H Plated 5/8"" HH",297,5332.0,5319.0,1959.7334
PLT 304L 1/4 X 48 X,"Plate 304L 1/4""x 48""x",284,503.0999999999999,472.8499999999999,591182.7130999998
INITIAL MATERIAL LOAD FRM BOOK,Initial Material Load frm Book,278,886340.1699999999,886266.1699999999,886117.1699999999
GALVANIZING,Galvanize Parts as Instructed,261,294.0,310.0,152567.67227499996
"FLANGE 304L 2""150 RFSO","Flange 304L 2"" 150# RFSO",256,857.0,856.0,30044.510000000006
CPLG 304L 3/4 3000 HALF THRD,"Coupling 304L 3/4""3000 Half Th",254,279.0,57.0,1152.2199999999957
"FLANGE 304L 3""150 RFSO","Flange 304L 3"" 150# RFSO",252,671.0,664.0,29957.579999999976
FLAT SA36 1/4 X 4 X 20',"Flat Stk SA36 1/4""x 4""x 20'",251,600.5,587.0,25215.297499999986
CPLG 304L 3/4 3000 FULL THRD,"Coupling 304L 3/4""3000 Full Th",248,273.0,49.0,1263.7762600000017
GASKET RING 1/8X2 150#,"Gasket Ring 1/8""x2"" 150#",247,420.0,411.0,2609.2700000000013
CPLG 304L 1 3000 HALF THRD,"Coupling 304L 1""3000 Half Th",243,479.0,32.0,3111.40999999999
PIPE 304L 3/4 SC40 WLD X,"Pipe 304L 3/4"" Sch40 Welded",242,242.48000000000098,13.02,4930.979000000003
PIPE A500 1.5 SC40 X 20',"Pipe SA500 1.5"" Sch40 x 20'",241,1441.0000000000005,1419.0000000000002,71134.51176000007
PLT 304L 3/16 X 60 X,"Plate 304L 3/16""x 60""x",239,983.0000000000002,986.0000000000002,1073902.6755400007
CPLG 316L 3/4 3000 FULL THRD,"Coupling 316L 3/4""3000 Full Th",237,250.0,27.0,1578.9800000000052
ELBOW 304L 3/4 SCH40 90 WLD,"Elbow 304L 3/4"" Sch40 90 Weld",225,225.0,2.0,945.7000000000038
FLAT SA36 1/2 X 3 X 20',"Flat Stk SA36 1/2""x 3""x 20'",222,814.0,810.0,49310.40952000001
PIPE 304L 4 SC40 WLD X,"Pipe 304L 4"" Sch40 Welded",218,166.00000000000014,162.00000000000014,39007.97800000003
