Vendor,Name,Status,PO_Count
NEXAIR11,NEXAIR LLC,Active,1431
ROBEJAME,ROBERT JAMES SALES INC,Active,740
CHATSTEE,CHATHAM STEEL,Active,649
STAFNUTB,STAFFORD NUT & BOLT,Active,528
RYERJOSE,JOSEPH T RYERSON & SON INC,Active,468
ONEASTEE,ONEAL STEEL,Active,436
ERIKSNA,"LGG INDUSTRIAL, INC.",Active,400
AIRGNATI,"AIRGAS USA, LLC",Active,285
APPLTECH,APPLIED TECHNICAL SERVICES INC,Active,280
LEWIGOET,ERIKS NORTH AMERICA INC.,Active,246
HMCRAIG1,H M CRAIG,Active,227
PREMEXPE,PREMIER EXPEDITERS INC.,Active,219
PHOEMETA,PHOENIX METALS COMPANY,Active,188
VSPTECHN,VSP TECHNOLOGIES,Active,182
EASTFIRS,"EASTERN INDUSTRIAL SUPPLIES, INC.",Active,171
SOUTATLA,SOUTH ATLANTIC LLC,Active,157
BRIGTRUE,"BRIGHTON TRU-EDGE HEADS, LLC",Active,152
SAVARUBB,"SAVANNAH RUBBER AND CONVEYOR, LLC",Active,139
MILLPAIN,MILLER PAINTING COMPANY INC,Inactive,132
GRAINGER,GRAINGER,Active,101
HYDRSUPP,HYDRAULIC SUPPLY COMPANY,Active,98
MOORINDU,MOORE INDUSTRIAL SUPPLY,Active,97
ACURINSP,ACUREN INSPECTION,Active,97
MCMACARR,MCMASTER-CARR,Active,93
CAROSPEC,CAROLINA SPECIALTY METALS INC,Active,93
ROLLALLO,ROLLED ALLOYS,Active,79
SAVACLEA,SAVANNAH CLEANING SYSTEMS,Active,77
GARRMACH,"GARRETT MACHINE, INC",Active,75
LDHCORPO,LDH CORPORATION,Active,73
BRANMACH,BRANDYWINE MACHINE,Active,70
PAPECHEM,PAPER CHEMICAL SUPPLY CO,Active,64
CSICOATS,"CSI COATING SYSTEMS, INC.",Active,62
FABENCOI,FABENCO INC,Active,61
RICHSUPP,RICHMOND SUPPLY COMPANY,Active,60
TEAMWRX1,TEAMWRX,Active,53
HESCO11,HESCO,Active,52
SAVASTAFF,"SAVANNAH STAFFING, INC.",Active,52
FERGENTE,FERGUSON ENTERPRISES LLC #52,Active,51
MUELPAUL,PAUL MUELLER COMPANY,Active,51
CUSTMANU,CUSTOM MANUFACTURING,Active,47
ASHLSLING,"ASHLEY SLING, INC.",Active,44
PORTCIND,PORT CITY INDUSTRIAL & MARINE,Active,44
FORTWORT,FORT WORTH F&D HEAD COMPANY,Active,43
THYSSENK,"THYSSENKRUPP MATERIALS NA, INC.",Active,39
AMERPIPI,AMERICAN PIPING PRODUCTS,Active,37
EXPREMPL,EXPRESS EMPLOYMENT,Active,36
BIBBCONT,BIBB CONTROL SYSTEMS,Active,35
TANKHEAD,TANKHEADS INC,Active,33
MOTIINDU,MOTION INDUSTRIES,Active,33
BADGRENT,BADGER RENTAL SERVICES INC,Active,30
SWANTRAN,SWAN TRANPORTATION SERVICES LTD.,Active,30
ESSENTRA,ESSENTRA,Active,29
KCISAVAN,KCI OF SAVANNAH INC,Active,29
JACQMIDA,JACQUET SOUTHEAST,Active,28
BULLHIWA,BULLDOG HIWAY EXPRESS,Active,28
BETTSIND,BETTS INDUSTRIES,Active,28
COLBTRAN,COLBERT'S L TRANSPORTATION LLC,Active,26
OLDDOMIN,OLD DOMINION FREIGHT LINE,Active,26
ESABWELD,ESAB WELDING & CUTTING,Active,26
MANGHAUL,MANGUM'S INC.,Active,25
CONTFIEL,CONTINENTAL FIELD SYSTEMS INC,Active,23
TIMSCRAN,"TIM'S CRANE & RIGGING, INC.",Active,22
STAIPLAT,"STAINLESS PLATE PRODUCTS, INC.",Active,22
CAPIMACH,CAPITAL MACHINE,Active,20
SHERWILL,SHERWIN WILLIAMS,Active,20
BROWCAMP,BROWN-CAMPBELL COMPANY,Active,20
CONSRIGG,CONSOLIDATED RIGGING,Active,19
LANDRANG,"LANDSTAR RANGER, INC.",Active,19
GRIZTRUC2,"CCT FACTORING, LLC",Active,18
TANKCOMP,TANK COMPONENTS INDUSTRIES,Active,18
HILLMANU,HILL MANUFACTURING,Active,17
RAWLDIST,RAWLS DISTRIBUTING,Active,17
PRAXDIST,PRAXAIR DISTRIBUTIONS INC,Active,17
DDSLOGIS,DD&S LOGISTICS,Active,17
IDEAPRIV,IDEAMETRICS PRIVATE LIMITED,Active,17
