job,description,actual_hrs,estimated_hrs,predicted_hrs,est_error_pct,pred_error_pct,improved
25-099,CONE BOTTOM W/COIL,132.5,137.0,139.7,3.3962264150943398,5.433962264150935,False
25-097,T-3505,86.25,97.0,92.69999999999999,12.46376811594203,7.4782608695652035,True
25-096,T-3405,84.5,97.0,92.1,14.792899408284024,8.994082840236679,True
25-094,420-TK-42003,58.5,80.0,77.9,36.75213675213676,33.16239316239317,True
25-089,DISSOLVING TANK,1998.75,1700.0,1979.2999999999997,14.946841776110068,0.9731081926204014,True
25-088,BALLAST TANK,51.5,58.0,68.3,12.62135922330097,32.62135922330096,False
25-087,WASTE WATER TANK,116.5,128.0,127.29999999999998,9.871244635193133,9.270386266094405,True
25-085,HIGH FBCR TANK (316 OPTION),393.25,403.0,383.2,2.479338842975207,2.5556261919898313,False
25-083,REACTOR 12,386.5,511.0,530.6999999999999,32.21216041397154,37.30918499353167,False
25-080,DAF FILTRATE TANK,261.75,236.0,238.70000000000002,9.837631327602674,8.806112702960835,True
25-077,R-301 DMN CSTR,138.0,141.0,140.59999999999997,2.1739130434782608,1.8840579710144678,True
25-078,R-310 PACKED BED REACTOR,138.5,95.0,86.9,31.40794223826715,37.25631768953068,False
25-079,R-311 PACKED BED REACTOR,101.5,95.0,91.5,6.403940886699508,9.852216748768473,False
25-074,T306 FERRIC SULFATE STORAGE TANK,463.75,483.0,586.6999999999999,4.150943396226415,26.512129380053896,False
25-075,SULFURIC ACID TANK,301.75,315.0,332.8999999999999,4.391052195526098,10.323115161557554,False
25-076,GLUE CONTAINMENT DROPLET SEAL POT,43.0,38.0,41.599999999999994,11.627906976744185,3.2558139534883854,True
25-072,SS STORAGE TANK #1,381.5,395.0,433.40000000000003,3.5386631716906947,13.604193971166456,False
25-073,SS STORAGE TANK #2,366.75,395.0,443.3,7.702794819359236,20.872528970688485,False
25-057,BUFFER TANK #2,443.75,476.0,430.5,7.267605633802816,2.9859154929577465,True
25-069,BUFFER TANK #14,398.5,476.0,395.5,19.44792973651192,0.7528230865746549,True
