Job,Sequence,Work_Center,Description,Est_Setup_Hrs,Est_Run_Hrs,Est_Total_Hrs,Act_Setup_Hrs,Act_Run_Hrs,Est_Setup_Labor,Est_Run_Labor,Act_Setup_Labor,Act_Run_Labor,Est_Labor_Burden,Act_Labor_Burden,Est_Machine_Burden,Act_Machine_Burden,Est_Total_Cost,Act_Total_Cost,Status,Run_Pct_Complete,Setup_Pct_Complete,Due_Date,Sched_Start,Sched_End,Actual_Start,Act_Total_Hrs
23-001,0,PRE FAB,"BI, SQ, T&C Shells",0.0,4.0,4.0,0.0,3.0,0.0,80.0,0.0,89.5,184.0,205.85,0.0,0.0,0.0,0.0,C,75.0,0.0,,,,2023-02-27 06:00:00,3.0
23-001,1,PRE FAB,"Roll Shell, Tack-Weld I/S",0.0,3.0,3.0,0.0,0.0,0.0,60.0,0.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-001,2,FINISHING,Clean Tank Complete,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-001,3,SHIPPING,Load on Truck,0.0,1.0,1.0,0.0,0.0,0.0,20.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-002,0,PRE FAB,Receive Material,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-002,1,INSPECTION,UT Top & Bottom Heads,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-002,2,PRE FAB,Cut Nozzle Pipe and Clean,0.0,7.0,7.0,0.0,7.0,0.0,140.0,0.0,183.0,322.0,420.9,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-10 06:00:00,7.0
23-002,3,PRE FAB,Build Nozzles-Weld,0.0,15.0,15.0,0.0,22.0,0.0,300.0,0.0,624.0,690.0,1435.2,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-24 06:00:00,22.0
23-002,4,PRE FAB,Build Repads for Nozzles,0.0,2.0,2.0,0.0,2.0,0.0,40.0,0.0,79.0,92.0,181.7,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-24 06:00:00,2.0
23-002,5,PRE FAB,"B&C parts-lugs, supp, etc",0.0,20.0,20.0,0.0,18.5,0.0,400.0,0.0,530.0,920.0,1114.35,0.0,0.0,0.0,0.0,C,95.0,0.0,,,,2023-06-30 06:00:00,18.5
23-002,6,PRE FAB,Build Supports,0.0,6.0,6.0,0.0,8.0,0.0,120.0,0.0,188.0,276.0,432.4,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-24 06:00:00,8.0
23-002,7,PRE FAB,Roll Repads-Drill & Tap,0.0,3.0,3.0,0.0,3.0,0.0,60.0,0.0,118.5,138.0,272.55,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-24 06:00:00,3.0
23-002,8,PRE FAB,"Bld Lift Lugs, Grd Lugs",0.0,2.0,2.0,0.0,2.0,0.0,40.0,0.0,79.0,92.0,181.7,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-26 06:00:00,2.0
23-002,9,PRE FAB,"Cut, Build Ladder Parts",0.0,6.0,6.0,0.0,6.0,0.0,120.0,0.0,126.0,276.0,289.8,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-24 06:00:00,6.0
23-002,10,PRE FAB,Form and Roll Ladder Hoop,0.0,3.0,3.0,0.0,3.0,0.0,60.0,0.0,118.5,138.0,272.55,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-27 06:00:00,3.0
23-002,11,PRE FAB,Build Ladder-Weld,0.0,16.0,16.0,0.0,16.0,0.0,320.0,0.0,336.0,736.0,772.8,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-31 06:00:00,16.0
23-002,12,PRE FAB,"Cut, Build Handrail Parts",0.0,6.0,6.0,0.0,6.0,0.0,120.0,0.0,133.5,276.0,307.05,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-25 06:00:00,6.0
23-002,13,PRE FAB,Roll Handrail Pipe,0.0,3.0,3.0,0.0,3.0,0.0,60.0,0.0,118.5,138.0,272.55,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-25 06:00:00,3.0
23-002,14,PRE FAB,Roll Handrail Toe Plate,0.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,27.0,46.0,62.1,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-25 06:00:00,1.0
23-002,15,PRE FAB,Build Handrail-Weld,0.0,18.0,18.0,0.0,18.0,0.0,360.0,0.0,400.5,828.0,921.15,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-25 06:00:00,18.0
23-002,16,PRE FAB,"Cut, Build Platform Parts",0.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,21.0,46.0,48.3,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-27 06:00:00,1.0
23-002,17,PRE FAB,Burn Platform Grating,0.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,21.0,46.0,48.3,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-27 06:00:00,1.0
23-002,18,PRE FAB,Build Platform-Weld,0.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,21.0,46.0,48.3,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-27 06:00:00,1.0
23-002,19,PRE FAB,Wrap Top & Bottom Heads,0.0,1.0,1.0,0.0,1.0,0.0,20.0,0.0,28.5,46.0,65.55,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-25 06:00:00,1.0
23-002,20,INSPECTION,UT Shells,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-002,21,PRE FAB,"BI, SQ, T&C Shells",0.0,4.0,4.0,0.0,5.0,0.0,80.0,0.0,135.0,184.0,310.5,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-21 06:00:00,5.0
23-002,22,PRE FAB,"Roll Shell, Tack-Weld I/S",0.0,6.0,6.0,0.0,7.0,0.0,120.0,0.0,189.0,276.0,434.7,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-25 06:00:00,7.0
23-002,23,INSPECTION,QC Inspection -Top/Bot/Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-002,24,FIT,"L/O Top, B&C Holes",0.0,6.0,6.0,0.0,12.5,0.0,120.0,0.0,356.25,276.0,819.38,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-25 06:00:00,12.5
23-002,25,PRE FAB,Set Nozzles & Lugs - Top,0.0,4.0,4.0,0.0,3.5,0.0,80.0,0.0,99.75,184.0,229.43,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-27 06:00:00,3.5
23-002,26,FIT,Weld Nozzles - Top Head,0.0,12.0,12.0,0.0,15.0,0.0,240.0,0.0,470.0,552.0,810.75,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-28 06:00:00,15.0
23-002,27,FIT,I&W Repads -Top,0.0,2.0,2.0,0.0,3.0,0.0,40.0,0.0,105.75,92.0,162.15,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,,3.0
23-002,28,PRE FAB,Install Top Stiffeners,0.0,4.0,4.0,0.0,5.0,0.0,80.0,0.0,126.5,184.0,290.95,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-31 06:00:00,5.0
23-002,29,INSPECTION,QC Inspection -Top/Bot/Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,0.0,0.0,,,,,0.0
23-002,30,PRE FAB,"L/O Bottom, B&C Holes",0.0,2.0,2.0,0.0,5.0,0.0,40.0,0.0,142.5,92.0,327.75,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,,5.0
23-002,31,PRE FAB,Set Nozzles - Bottom Head,0.0,1.0,1.0,0.0,2.0,0.0,20.0,0.0,57.0,46.0,131.1,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-25 06:00:00,2.0
23-002,32,FIT,Weld Nozzles - Bot. Head,0.0,3.0,3.0,0.0,3.0,0.0,60.0,0.0,72.0,138.0,165.6,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-25 06:00:00,3.0
23-002,33,FIT,Fit Bottom Head to Shell,0.0,4.0,4.0,0.0,6.0,0.0,80.0,0.0,123.0,184.0,282.9,0.0,0.0,0.0,0.0,C,100.0,0.0,,,,2023-07-27 06:00:00,6.0
