Work_Center,Description,job_count,mean_est_hrs,median_est_hrs,std_est_hrs,mean_act_hrs,median_act_hrs
INSPECTION,QC Inspection - Test,421,0.0,0.0,0.0,0.0,0.0
INSPECTION,QC Inspection - Final & L,419,0.0,0.0,0.0,0.0,0.0
PRE FAB,Cut Nozzle Pipe and Clean,419,4.028639618138425,2.0,3.063778324000943,2.7159904534606207,1.0
INSPECTION,QC Inspection - Fab,418,0.0,0.0,0.0,0.014285714285714285,0.0
PRE FAB,Receive Material,418,0.0023923444976076554,0.0,0.04891159880445186,0.0023923444976076554,0.0
INSPECTION,UT Top & Bottom Heads,418,0.0,0.0,0.0,0.0,0.0
MOVE TANK,Move to Shop Test Area,417,1.4484412470023982,1.0,1.4015286012842088,1.4136690647482015,0.0
SHIPPING,Load on Truck,417,2.563549160671463,1.0,2.6505469080248174,2.815947242206235,0.0
FINISHING,Test Tank,416,8.471153846153847,4.0,8.145610666074232,6.750600961538462,0.0
FIT,"Inspect Tank, Make Repair",414,1.0132850241545894,1.0,0.14070844934498303,0.7022946859903382,0.0
FINISHING,Install Name Tag,413,1.0,1.0,0.0,0.4322033898305085,0.0
INSPECTION,UT Shells,413,0.0,0.0,0.0,0.0,0.0
PRE FAB,"Bld Lift Lugs, Grd Lugs",411,1.4087591240875912,1.0,0.6194578021677895,0.774330900243309,0.0
PRE FAB,"BI, SQ, T&C Shells",410,5.562043795620438,1.0,7.837864300198185,5.046228710462287,0.0
PRE FAB,"Roll Shell, Tack-Weld I/S",410,6.440389294403893,3.0,6.414406334850325,4.641119221411192,2.0
FIT,Fit Bottom Head to Shell,409,7.474327628361858,4.0,8.452575376205512,5.701711491442543,1.5
FIT,Set Nozzles in Shell,408,3.784313725490196,1.0,4.730324465873364,3.4166666666666665,0.0
PRE FAB,Build Nozzles-Weld,408,7.367647058823529,4.0,6.583960284282064,5.844975490196078,0.0
FIT,Install Support Parts,406,10.66256157635468,4.0,13.169434396017687,6.891009852216749,0.75
FIT,Weld Shell Nozz & M/Ws,405,9.753086419753087,3.0,11.487111658825084,6.92037037037037,1.0
INSPECTION,QC Inspection - Internal,405,0.0,0.0,0.0,0.014814814814814815,0.0
INSPECTION,QC Inspection -Top/Bot/Co,404,0.0,0.0,0.0,0.005,0.0
MOVE TANK,Move Tank to Detail Rolls,396,1.542929292929293,1.0,1.2671808658934944,1.6597222222222223,0.0
FINISHING,Prepare Tank for Shipment,396,1.7196969696969697,1.0,2.2557304599486536,2.355429292929293,0.0
FIT,Fit Top to Shell,392,3.288265306122449,1.0,4.842909764620459,3.5714285714285716,0.0
