Job,Customer,Description,Status,Order_Date,Est_Total_Hrs,Act_Total_Hrs,Total_Price,material_grade,max_plate_thickness,plate_count,nozzle_count,flange_count,max_flange_size,head_count,has_code_stamp,total_material_cost,certs_required_count,capacity_gal,tank_type,is_batch,batch_size
26-023,SAVATANK,DEMO TANK,Active,2026-03-05,17.0,0.0,1.0,CS,0.0,0,6,4,6.0,0,False,369.74,0,0,tank,False,1
25-127,VERTCORP,BUFFER TANK 4 OF 224,Active,2026-01-13,74.0,77.75,20500.0,316L,0.25,2,6,2,8.0,2,False,1363.75,0,0,buffer_tank,True,224
25-134,VERTCORP,BUFFER TANK 11 OF 224,Active,2026-01-13,74.0,49.5,20500.0,316L,0.25,2,6,2,8.0,2,False,1363.75,0,0,buffer_tank,True,224
25-128,VERTCORP,BUFFER TANK 5 OF 224,Complete,2026-01-13,74.0,54.75,20500.0,316L,0.25,2,6,2,8.0,2,False,1363.75,0,0,buffer_tank,True,224
25-170,VERTCORP,BUFFER TANK 47 OF 224,Active,2026-01-02,74.0,8.5,20500.0,316L,0.25,2,6,2,8.0,2,False,1363.75,0,0,buffer_tank,True,224
25-171,VERTCORP,BUFFER TANK 48 OF 224,Active,2026-01-02,74.0,7.5,20500.0,316L,0.25,2,6,2,8.0,2,False,1363.75,0,0,buffer_tank,True,224
25-308,VERTCORP,BUFFER TANK 185 OF 224,Active,2026-01-02,74.0,1.0,20500.0,316L,0.25,2,6,2,8.0,2,False,1363.75,0,0,buffer_tank,True,224
25-135,VERTCORP,BUFFER TANK 12 OF 224,Active,2025-12-15,74.0,61.5,20500.0,316L,0.25,2,6,2,8.0,2,False,1363.75,0,0,buffer_tank,True,224
25-125,VERTCORP,BUFFER TANK 2 OF 224,Active,2025-12-15,74.0,71.75,20500.0,316L,0.25,2,6,2,8.0,2,False,1363.75,0,0,buffer_tank,True,224
25-172,VERTCORP,BUFFER TANK 49 OF 224,Active,2025-12-15,74.0,7.25,20500.0,316L,0.25,2,6,2,8.0,2,False,1363.75,0,0,buffer_tank,True,224
25-173,VERTCORP,BUFFER TANK 50 OF 224,Active,2025-12-15,74.0,7.5,20500.0,316L,0.25,2,6,2,8.0,2,False,1363.75,0,0,buffer_tank,True,224
25-149,VERTCORP,BUFFER TANK 26 OF 224,Active,2025-12-15,74.0,30.5,20500.0,316L,0.25,2,6,2,8.0,2,False,1363.75,0,0,buffer_tank,True,224
