entry_date,vendor_code,vendor_name,type,document,document_date,gross_amount,discount_amount,status
03-Mar-25,BOLGDUST,DUSTIN T. BOLGRIHN,INV,3032025,2025-03-03T00:00:00,4700.00,0.00,Posted
03-Mar-25,CORDASCO,CORDASCO & COMPANY PC,INV,176993,2025-02-28T00:00:00,5000.00,0.00,Posted
03-Mar-25,JANPRO11,JAN-PRO CLEANING SYSTEMS OF SC/GA COAST,INV,446675,2025-03-01T00:00:00,545.00,0.00,Posted
03-Mar-25,NEXAIR11,NEXAIR LLC,INV,0012869092,2025-02-28T00:00:00,147.66,0.00,Posted
03-Mar-25,ROBEJAME,ROBERT JAMES SALES INC,INV,00937181,2025-02-28T00:00:00,342.50,1.71,Posted
03-Mar-25,SOUTATLA,SOUTH ATLANTIC LLC,INV,882743,2025-02-28T00:00:00,578.20,0.00,Posted
04-Mar-25,ABR11111,ABR DIGITAL OFFICE SOLUTIONS,INV,638372,2025-03-03T00:00:00,12.62,0.00,Posted
04-Mar-25,CITYGARD,CITY OF GARDEN CITY,INV,3042025,2025-03-04T00:00:00,5039.61,0.00,Posted
04-Mar-25,LABOSOUR,LABOR SOURCE LLC,INV,560622,2025-03-03T00:00:00,3383.20,0.00,Posted
05-Mar-25,APPLTECH,APPLIED TECHNICAL SERVICES INC,INV,4173286,2025-03-05T00:00:00,1750.00,0.00,Posted
05-Mar-25,EASTFIRS,"EASTERN INDUSTRIAL SUPPLIES, INC.",INV,S3994306.001,2025-03-03T00:00:00,10.80,0.00,Posted
05-Mar-25,NEXAIR11,NEXAIR LLC,INV,0012876620,2025-03-03T00:00:00,255.45,0.00,Posted
05-Mar-25,NEXAIR11,NEXAIR LLC,INV,0012946139,2025-03-03T00:00:00,5.00,0.00,Posted
05-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305708579.02,2025-03-01T00:00:00,626.82,0.00,Posted
05-Mar-25,TIMSCRAN,"TIM'S CRANE & RIGGING, INC.",INV,75573,2025-03-04T00:00:00,2045.60,0.00,Posted
06-Mar-25,COLOLIFE,COLONIAL LIFE & ACCIDENT INS CO,INV,7295454-0308466,2025-03-06T00:00:00,1136.32,0.00,Posted
06-Mar-25,DOCUQUES,DOCUQUEST,INV,15817,2025-03-01T00:00:00,195.53,0.00,Posted
06-Mar-25,RICHSUPP,RICHMOND SUPPLY COMPANY,INV,1005647,2025-03-05T00:00:00,590.04,5.90,Posted
06-Mar-25,SPRASYST,SPRAYING SYSTEMS CO,INV,INV-PO 39689,2025-03-06T00:00:00,4771.48,0.00,Posted
07-Mar-25,NEXAIR11,NEXAIR LLC,INV,0012953965,2025-03-06T00:00:00,903.59,0.00,Posted
07-Mar-25,PHOEMETA,PHOENIX METALS COMPANY,INV,8541111,2025-03-06T00:00:00,3076.41,15.38,Posted
10-Mar-25,ROBESPIN,ROBERT SPINETTO,INV,059,2025-03-10T00:00:00,1000.00,0.00,Posted
10-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305731859,2025-03-10T00:00:00,3836.15,19.18,Posted
10-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305731860,2025-03-10T00:00:00,1758.32,8.79,Posted
10-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305731861,2025-03-10T00:00:00,7643.74,38.22,Posted
10-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305731862,2025-03-10T00:00:00,7325.22,36.63,Posted
10-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305731863,2025-03-10T00:00:00,9745.77,48.73,Posted
10-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305731864,2025-03-10T00:00:00,3821.87,19.11,Posted
10-Mar-25,STATDRUG,STATE DRUG TESTING AND OCCUPATIONAL HEALTH,INV,00014265,2025-03-01T00:00:00,95.00,0.00,Posted
11-Mar-25,NEXAIR11,NEXAIR LLC,INV,0012948207,2025-03-06T00:00:00,16.42,0.33,Posted
11-Mar-25,NEXAIR11,NEXAIR LLC,INV,0012951840,2025-03-06T00:00:00,297.76,5.96,Posted
11-Mar-25,NEXAIR11,NEXAIR LLC,INV,0012953278,2025-03-11T00:00:00,33.36,0.67,Posted
11-Mar-25,NEXAIR11,NEXAIR LLC,INV,0012955343,2025-03-11T00:00:00,63.83,1.28,Posted
11-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305737787,2025-03-10T00:00:00,2298.48,11.49,Posted
11-Mar-25,SPRASYST,SPRAYING SYSTEMS CO,CM,INC-PO 39689CR,2025-03-06T00:00:00,-4771.48,0.00,Posted
12-Mar-25,APPLTECH,APPLIED TECHNICAL SERVICES INC,INV,4175355,2025-03-12T00:00:00,2467.00,0.00,Posted
12-Mar-25,APPLTECH,APPLIED TECHNICAL SERVICES INC,INV,4175359,2025-03-12T00:00:00,1050.00,0.00,Posted
12-Mar-25,CIGNAHEAL,CIGNA HEALTHCARE,INV,3122025,2025-03-12T00:00:00,9748.00,0.00,Posted
12-Mar-25,MSBCSOLU,MSBC SOLUTIONS USA INC.,INV,1064-2-001,2025-03-11T00:00:00,9000.00,0.00,Posted
12-Mar-25,ROBEJAME,ROBERT JAMES SALES INC,INV,00937468,2025-03-12T00:00:00,12997.31,64.99,Posted
13-Mar-25,BRIGTRUE,"BRIGHTON TRU-EDGE HEADS, LLC",INV,90745121,2025-03-10T00:00:00,11168.70,0.00,Posted
13-Mar-25,BRIGTRUE,"BRIGHTON TRU-EDGE HEADS, LLC",INV,90745520,2025-03-13T00:00:00,2450.75,0.00,Posted
13-Mar-25,DAVIONAC,DAVID ONACHILLA,INV,3132025,2025-03-13T00:00:00,5000.00,0.00,Posted
13-Mar-25,GEORPOWE,GEORGIA POWER,INV,MAR2025,2025-03-13T00:00:00,5134.33,0.00,Posted
13-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305725926,2025-03-11T00:00:00,10073.07,50.37,Posted
14-Mar-25,ABCWASTE,ABC WASTE,INV,34865,2025-03-01T00:00:00,300.00,0.00,Posted
14-Mar-25,ATTMOBIL,AT&T MOBILITY,INV,MARCH2025,2025-03-14T00:00:00,405.76,0.00,Posted
14-Mar-25,BEACSECU,BEACON SECURITY SERVICES INC,INV,036237,2025-03-14T00:00:00,180.00,0.00,Posted
14-Mar-25,GRAINGER,GRAINGER,INV,9429931950,2025-03-06T00:00:00,56.79,0.00,Posted
14-Mar-25,LABOSOUR,LABOR SOURCE LLC,INV,561977,2025-03-13T00:00:00,1162.42,0.00,Posted
14-Mar-25,NEXAIR11,NEXAIR LLC,INV,0010459401,2025-03-01T00:00:00,29823.71,0.00,Posted
14-Mar-25,NEXAIR11,NEXAIR LLC,INV,0012686878,2025-03-14T00:00:00,20.16,0.00,Posted
14-Mar-25,NEXAIR11,NEXAIR LLC,CM,0012686878-PPCR,2025-03-14T00:00:00,-20.16,0.00,Posted
14-Mar-25,NEXAIR11,NEXAIR LLC,INV,0012966975,2025-03-13T00:00:00,608.97,0.00,Posted
14-Mar-25,NEXAIR11,NEXAIR LLC,CM,PO39576-PPCR1,2025-03-01T00:00:00,-29823.71,0.00,Posted
14-Mar-25,ROBEJAME,ROBERT JAMES SALES INC,INV,00937465,2025-03-14T00:00:00,383.05,1.92,Posted
14-Mar-25,ROBEJAME,ROBERT JAMES SALES INC,INV,39674,2025-03-14T00:00:00,1146.56,5.73,Posted
14-Mar-25,STAIPLAT,"STAINLESS PLATE PRODUCTS, INC.",INV,31433,2025-03-10T00:00:00,1966.00,0.00,Posted
14-Mar-25,WELDPLUS,"WELD PLUS, INC.",INV,260390,2025-03-06T00:00:00,1219.37,0.00,Posted
17-Mar-25,CARDSERV,CARD SERVICES,INV,4356-MAR2025,2025-03-17T00:00:00,2071.35,0.00,Posted
17-Mar-25,CARDSERV,CARD SERVICES,INV,6513-MAR2025,2025-03-17T00:00:00,141.51,0.00,Posted
17-Mar-25,COMCAST1,COMCAST,INV,MAR2025,2025-03-17T00:00:00,439.34,0.00,Posted
17-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9035745878,2025-03-13T00:00:00,3524.94,17.62,Posted
17-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305742012,2025-03-13T00:00:00,2937.45,14.69,Posted
17-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305742013,2025-03-13T00:00:00,5605.64,28.03,Posted
17-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305745877,2025-03-13T00:00:00,11465.61,57.33,Posted
17-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305745879,2025-03-13T00:00:00,1810.11,9.05,Posted
17-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305745880,2025-03-13T00:00:00,10356.40,51.78,Posted
17-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305745881,2025-03-13T00:00:00,1910.93,9.55,Posted
17-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305745882,2025-03-13T00:00:00,19407.92,97.04,Posted
17-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305745883,2025-03-13T00:00:00,2502.49,12.51,Posted
17-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305745884,2025-03-13T00:00:00,1564.06,7.82,Posted
17-Mar-25,RYERJOSE,JOSEPH T RYERSON & SON INC,INV,9305745886,2025-03-13T00:00:00,8285.12,41.43,Posted
18-Mar-25,APPLTECH,APPLIED TECHNICAL SERVICES INC,INV,4175826,2025-03-17T00:00:00,1643.00,0.00,Posted
18-Mar-25,APPLTECH,APPLIED TECHNICAL SERVICES INC,INV,4175836,2025-03-17T00:00:00,1375.00,0.00,Posted
