job,status,customer,order_date,part_number,description,rev,order_quantity,unit_price,total_price,net_shipped,order_unit,price_uom,sales_rep,customer_line2,job_revision
073-16,Closed,,2017-01-09T00:00:00,,,,1,0.00,0.00,0,ea,ea,,,
076-16,Closed,,2017-01-10T00:00:00,,,,1,0.00,0.00,0,ea,ea,,,
12-124,Closed,,2015-11-19T00:00:00,,,,1,0.00,0.00,0,ea,ea,,,
14-039,Closed,FLOPAM11,2014-02-12T00:00:00,ASME LP4 REACTOR POLISHED,,,1,89661.61,89661.61,0,ea,ea,,FLP006807-1,
14-041,Closed,FLOPAM11,2014-02-12T00:00:00,ASME LP4 REACTOR POLISHED,,,1,89661.61,89661.61,1,ea,ea,,FLP006807-1,
14-043,Closed,FLOPAM11,2014-02-12T00:00:00,FREIGHT,,,1,7500.00,7500.00,1,ea,ea,,FLP006807-1,
14-144,Closed,FLOPAM11,2014-08-19T00:00:00,ASME EFFLUENTS VESSEL,,,1,30958.00,30958.00,1,ea,ea,,FLP008437-1,
14-148,Closed,PLASTECH,2014-08-27T00:00:00,ASME REACTOR,,,1,226190.00,226190.00,1,ea,ea,,14-0410,
14-149,Closed,PLASTECH,2014-08-27T00:00:00,FREIGHT,,,1,7900.00,7900.00,1,ea,ea,,14-0410,
14-161,Closed,INDUENVI,2014-09-02T00:00:00,RE-WORK SKID,,,1,330.00,330.00,1,ea,ea,,WARRANTY,
14-165,Closed,FOSTWHEE,2014-09-08T00:00:00,BINDER CYCLONE AND DROP TANK,F1505002 & F1505003,,1,33607.00,33607.00,1,ea,ea,,82711-130516-E-25-04,
14-177,Closed,PLASTECH,2015-10-14T00:00:00,FREIGHT,,,1,2000.00,2000.00,1,ea,ea,,14-0847,
14-193,Closed,GEORPACI,2014-11-12T00:00:00,ASME LVHC NCG CONDENSATE TANK,C1-3-084,,1,24187.00,24187.00,1,ea,ea,,425151,
14-194,Closed,GEORPACI,2014-11-12T00:00:00,SOAP TANK C1-3-095,,,1,27114.00,27114.00,1,ea,ea,,425151,
14-196,Closed,GEORPACI,2014-11-12T00:00:00,ASME 170# AIR HEATER FLASH TAN,C1-3-104,,1,17393.00,17393.00,1,ea,ea,,425151,
14-197,Closed,GEORPACI,2014-11-12T00:00:00,850# DEMIN WATER TANK C1-3-138,,,1,42705.00,42705.00,1,ea,ea,,425151,
14-198,Closed,GEORPACI,2014-11-12T00:00:00,DEMIN CAUSTIC TANK C1-3-115,,,1,59152.00,59152.00,1,ea,ea,,425151,
14-199,Closed,GEORPACI,2014-11-12T00:00:00,DEMIN ACID TANK C1-3-114,,,1,76460.00,76460.00,1,ea,ea,,425151,
