job,part_number,customer,make_quantity,labor_hrs,labor_setup,labor_run,ot_hrs,ot_setup,ot_run,scrap_qty,scrap_run,scrap_setup
14-144,ASME EFFLUENTS VESSEL,FLOPAM11,1,122.00,0.00,122.00,16.50,0.00,16.50,0.00,0.00,0.00
14-148,ASME REACTOR,PLASTECH,1,2.50,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00
14-161,RE-WORK SKID,INDUENVI,1,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
14-194,SOAP TANK C1-3-095,GEORPACI,1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
14-196,ASME 170# AIR HEATER FLASH TAN,GEORPACI,1,0.50,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00
14-197,850# DEMIN WATER TANK C1-3-138,GEORPACI,1,0.50,0.00,0.50,1.00,0.00,1.00,0.00,0.00,0.00
14-198,DEMIN CAUSTIC TANK C1-3-115,GEORPACI,1,1.50,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00
14-199,DEMIN ACID TANK C1-3-114,GEORPACI,1,69.75,0.00,69.75,6.00,0.00,6.00,0.00,0.00,0.00
15-011,8800 GALLON STORAGE TANK,YESACORP,1,89.17,0.00,89.17,22.42,0.00,22.42,0.00,0.00,0.00
15-012,8800 GALLON STORAGE TANK,YESACORP,1,41.17,0.00,41.17,6.17,0.00,6.17,0.00,0.00,0.00
15-013,13500 GALLON STORAGE TANK,YESACORP,1,48.16,0.00,48.16,5.16,0.00,5.16,0.00,0.00,0.00
15-014,"27,000 GALLON POWDER SILO",YESACORP,1,193.75,0.00,193.75,6.50,0.00,6.50,0.00,0.00,0.00
15-015,"14,000 GALLON POWDER SILO",YESACORP,1,208.50,0.00,208.50,24.50,0.00,24.50,0.00,0.00,0.00
15-016,ANTI CAKE BIN,POTTINDU,1,6.50,0.00,6.50,0.00,0.00,0.00,0.00,0.00,0.00
15-030,BINDER MIST ELIMINATOR,FOSTWHEE,1,0.00,0.00,0.00,2.50,0.00,2.50,0.00,0.00,0.00
15-030 BTM,,FOSTWHEE,1,21.50,0.00,21.50,0.00,0.00,0.00,0.00,0.00,0.00
15-030 MAN,,FOSTWHEE,1,19.00,0.00,19.00,4.50,0.00,4.50,0.00,0.00,0.00
15-030 PRE,,FOSTWHEE,1,83.25,0.00,83.25,24.00,0.00,24.00,0.00,0.00,0.00
15-030 TOP,,FOSTWHEE,1,5.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00
15-031,IMPREG. MIST ELIMINATOR,FOSTWHEE,1,4.00,0.00,4.00,4.00,0.00,4.00,0.00,0.00,0.00
15-031 BTM,,FOSTWHEE,1,8.00,0.00,8.00,2.00,0.00,2.00,0.00,0.00,0.00
15-031 MAN,,FOSTWHEE,1,9.00,0.00,9.00,1.50,0.00,1.50,0.00,0.00,0.00
15-031 PRE,,FOSTWHEE,1,44.25,0.00,44.25,10.00,0.00,10.00,0.00,0.00,0.00
15-031 TOP,,FOSTWHEE,1,3.50,0.00,3.50,2.00,0.00,2.00,0.00,0.00,0.00
15-032,FORMER MIST ELIMINATOR,FOSTWHEE,1,11.00,0.00,11.00,1.00,0.00,1.00,0.00,0.00,0.00
15-032 BTM,,FOSTWHEE,1,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00
15-032 MAN,,FOSTWHEE,1,6.50,0.00,6.50,1.00,0.00,1.00,0.00,0.00,0.00
15-032 PRE,,FOSTWHEE,1,52.00,0.00,52.00,12.75,0.00,12.75,0.00,0.00,0.00
15-032 TOP,,FOSTWHEE,1,1.50,0.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00
15-035,ASME METHANE TANK,MUNIUTIL,1,43.75,0.00,43.75,8.50,0.00,8.50,0.00,0.00,0.00
15-036,ASME METHANE TANK,MUNIUTIL,1,33.75,0.00,33.75,6.50,0.00,6.50,0.00,0.00,0.00
15-039,ASME SULFONE DEHYDRATION TOWER,SOLVSPEC,1,110.50,0.00,110.50,48.25,0.00,48.25,0.00,0.00,0.00
15-041,ASME MELT DRUM,SOLVSPEC,1,92.75,0.00,92.75,1.50,0.00,1.50,0.00,0.00,0.00
15-044,API 650 STAINLESS STEEL,FUJIVEGE,1,85.25,0.00,85.25,38.25,0.00,38.25,0.00,0.00,0.00
15-045,API 650 STAINLESS STEEL,FUJIVEGE,1,78.25,0.00,78.25,8.50,0.00,8.50,0.00,0.00,0.00
15-046,API 650 STAINLESS STEEL,FUJIVEGE,1,68.25,0.00,68.25,11.00,0.00,11.00,0.00,0.00,0.00
15-047,ASME SOLVENT RECOVERY RECEIVER,SOLVSPEC,1,1.75,0.00,1.75,0.50,0.00,0.50,0.00,0.00,0.00
15-047_PRE,,SOLVSPEC,1,26.50,0.00,26.50,8.00,0.00,8.00,0.00,0.00,0.00
15-047_TOP,,SOLVSPEC,1,8.50,0.00,8.50,0.00,0.00,0.00,0.00,0.00,0.00
15-048,ASME DPS RECOVERY RECEIVER,SOLVSPEC,1,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
15-048_PRE,,SOLVSPEC,1,23.50,0.00,23.50,0.00,0.00,0.00,0.00,0.00,0.00
15-048_TOP,,SOLVSPEC,1,4.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00
15-049,ASME RECOVERY ACETONE RECEIVER,SOLVSPEC,1,22.50,0.00,22.50,5.50,0.00,5.50,0.00,0.00,0.00
15-049_BTM,,SOLVSPEC,1,5.00,0.00,5.00,1.00,0.00,1.00,0.00,0.00,0.00
15-049_MAN,,SOLVSPEC,1,23.00,0.00,23.00,0.00,0.00,0.00,0.00,0.00,0.00
15-049_PRE,,SOLVSPEC,1,9.50,0.00,9.50,8.75,0.00,8.75,0.00,0.00,0.00
15-049_TOP,,SOLVSPEC,1,26.00,0.00,26.00,12.00,0.00,12.00,0.00,0.00,0.00
